category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Allied,2814,Concealed Body for Joystick Basin Mixer,Parent,2814,Concealed Body for Joystick Basin Mixer,ARC-CHR-87233C,,https://www.jaquar.com/images/thumbs/0012052_concealed-body-for-joystick-basin-mixer_960.jpeg,,Concealed Body for Joystick Basin Mixer Wall Mounted without Exposed Parts,https://www.jaquar.com/en/concealed-body-for-joystick-wall-basin-mixer?Id=2814,"Allied, ARC-CHR-87233C"
Faucets,Allied,2816,Concealed Body for Joystick Diverter 40mm Cartridge,Parent,2816,Concealed Body for Joystick Diverter 40mm Cartridge,ARC-CHR-87065C,Chrome,https://www.jaquar.com/images/thumbs/0016308_concealed-body-for-joystick-diverter-40mm-cartridge_960.jpeg,4750.00,"Concealed Body for Joystick Diverter 40mm Cartridge with Button Assembly, (Button On Top) But without Exposed Parts
",https://www.jaquar.com/en/joystick-divertor-body-2-way?Id=2816,"Allied, ARC-CHR-87065C, Chrome"
Faucets,Allied,2387,Aquamax Concealed Body of Thermostatic Shower Mixer,Parent,2387,Aquamax Concealed Body of Thermostatic Shower Mixer,ALD-CHR-661N,,https://www.jaquar.com/images/thumbs/0054425_aquamax-concealed-body-of-thermostatic-shower-mixer_960.jpeg,,"Aquamax Concealed Body of Thermostatic Shower Mixer, But without Exposed Parts",https://www.jaquar.com/en/aquamax-thermostatic-mixer-concealed-body?Id=2387,"Allied, ALD-CHR-661N"
Faucets,Allied,2388,Aquamax Concealed Body of Thermostatic Shower Mixer,Parent,2388,Aquamax Concealed Body of Thermostatic Shower Mixer,ALD-CHR-681N,Chrome,https://www.jaquar.com/images/thumbs/0054426_aquamax-concealed-body-of-thermostatic-shower-mixer_960.jpeg,11800.00,"Aquamax Concealed Body of Thermostatic Shower Mixer with 2-way diverter, But without Exposed Parts
",https://www.jaquar.com/en/aquamax-2-way-thermostatic-mixer-concealed-body?Id=2388,"Allied, ALD-CHR-681N, Chrome"
Faucets,Allied,2389,Aquamax Concealed Body of Thermostatic Shower Mixer,Parent,2389,Aquamax Concealed Body of Thermostatic Shower Mixer,ALD-CHR-683N,Chrome,https://www.jaquar.com/images/thumbs/0054427_aquamax-concealed-body-of-thermostatic-shower-mixer_960.jpeg,14600.00,"Aquamax Concealed Body of Thermostatic Shower Mixer with 3-way diverter, But without Exposed Parts
",https://www.jaquar.com/en/aquamax-3-way-thermostatic-mixer-concealed-body?Id=2389,"Allied, ALD-CHR-683N, Chrome"
Faucets,Allied,2751,Aquamax Concealed Body,Parent,2751,Aquamax Concealed Body,ALD-CHR-783N,,https://www.jaquar.com/images/thumbs/0050755_aquamax-concealed-body_960.jpeg,,"Aquamax Concealed Body of Single Lever Shower Mixer with 3-way diverter, But without Exposed Parts",https://www.jaquar.com/en/aquamax-concealed-body-4?Id=2751,"Allied, ALD-CHR-783N"
Faucets,Allied,4024,Concealed Body for Floor Mounted Single Lever Bath Mixer,Parent,4024,Concealed Body for Floor Mounted Single Lever Bath Mixer,ALD-CHR-121,Chrome,https://www.jaquar.com/images/thumbs/0015440_concealed-body-for-floor-mounted-single-lever-bath-mixer_960.jpeg,7200.00,"Concealed Body for Floor Mounted Single Lever Bath Mixer
",https://www.jaquar.com/en/concealed-body?Id=4024,"Allied, ALD-CHR-121, Chrome"
Faucets,Allied,284,Concealed Body for Single Lever Diverter,Parent,284,Concealed Body for Single Lever Diverter,ALD-CHR-055N,Chrome,https://www.jaquar.com/images/thumbs/0016299_concealed-body-for-single-lever-diverter_960.jpeg,2950.00,"Concealed Body for Single Lever Diverter 35mm Cartridge with Button Assembly, (Button On Top) But without Exposed Part
",https://www.jaquar.com/en/ald-055-single-lever-diverter-top-button-40mm?Id=284,"Allied, ALD-CHR-055N, Chrome"
Faucets,Allied,285,Concealed Body for Single Lever Diverter 40mm Cartridge,Parent,285,Concealed Body for Single Lever Diverter 40mm Cartridge,ALD-CHR-065M,,https://www.jaquar.com/images/thumbs/0050750_concealed-body-for-single-lever-diverter-40mm-cartridge_960.jpeg,,Concealed Body for Single Lever Diverter 40mm Cartridge with Button Assembly (Button On Top) But without Exposed Parts,https://www.jaquar.com/en/ald-065-single-lever-diverter-top-button?Id=285,"Allied, ALD-CHR-065M"
Faucets,Allied,289,Concealed Body for Single Lever High Flow Diverter,Parent,289,Concealed Body for Single Lever High Flow Diverter,ALD-CHR-079N,,https://www.jaquar.com/images/thumbs/0016302_concealed-body-for-single-lever-high-flow-diverter_960.jpeg,,"Concealed Body for Single Lever High Flow Diverter with Button Assembly, But without Exposed Parts",https://www.jaquar.com/en/ald-079-single-lever-diverter-high-flow?Id=289,"Allied, ALD-CHR-079N"
