category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Arc,2930,Joystick Basin Mixer,Parent,2812,Joystick Basin Mixer - Chrome,ARC-CHR-87011B,Chrome,https://www.jaquar.com/images/thumbs/0013134_joystick-basin-mixer-chrome_960.jpeg,10500.00,Joystick Basin Mixer without Popup Waste with 450mm Long Braided Hoses,https://www.jaquar.com/en/arc-joystick-chrome-basin-mixer?Id=2930,"Arc, ARC-CHR-87011B, Chrome"
Faucets,Arc,2930,Joystick Basin Mixer,Variant,2812,Joystick Basin Mixer - Antique Bronze,ARC-ABR-87011B,Antique Bronze,https://www.jaquar.com/images/thumbs/0054646_joystick-basin-mixer-antique-bronze_960.jpeg,17300.00,Joystick Basin Mixer without Popup Waste with 450mm Long Braided Hoses,https://www.jaquar.com/en/arc-joystick-chrome-basin-mixer?Id=2930,"Arc, ARC-ABR-87011B, Antique Bronze"
Faucets,Arc,2930,Joystick Basin Mixer,Variant,2812,Joystick Basin Mixer - Antique Copper,ARC-ACR-87011B,Antique Copper,https://www.jaquar.com/images/thumbs/0055108_joystick-basin-mixer-antique-copper_960.jpeg,17300.00,Joystick Basin Mixer without Popup Waste with 450mm Long Braided Hoses,https://www.jaquar.com/en/arc-joystick-chrome-basin-mixer?Id=2930,"Arc, ARC-ACR-87011B, Antique Copper"
Faucets,Arc,2930,Joystick Basin Mixer,Variant,2812,Joystick Basin Mixer - Black Chrome,ARC-BCH-87011B,Black Chrome,https://www.jaquar.com/images/thumbs/0056045_joystick-basin-mixer-black-chrome_960.jpeg,15200.00,Joystick Basin Mixer without Popup Waste with 450mm Long Braided Hoses,https://www.jaquar.com/en/arc-joystick-chrome-basin-mixer?Id=2930,"Arc, ARC-BCH-87011B, Black Chrome"
Faucets,Arc,2930,Joystick Basin Mixer,Variant,2812,Joystick Basin Mixer - Black Matt,ARC-BLM-87011B,Black Matt,https://www.jaquar.com/images/thumbs/0054663_joystick-basin-mixer-black-matt_960.jpeg,15200.00,Joystick Basin Mixer without Popup Waste with 450mm Long Braided Hoses,https://www.jaquar.com/en/arc-joystick-chrome-basin-mixer?Id=2930,"Arc, ARC-BLM-87011B, Black Matt"
Faucets,Arc,2930,Joystick Basin Mixer,Variant,2812,Joystick Basin Mixer - Graphite,ARC-GRF-87011B,Graphite,https://www.jaquar.com/images/thumbs/0054762_joystick-basin-mixer-graphite_960.jpeg,17300.00,Joystick Basin Mixer without Popup Waste with 450mm Long Braided Hoses,https://www.jaquar.com/en/arc-joystick-chrome-basin-mixer?Id=2930,"Arc, ARC-GRF-87011B, Graphite"
Faucets,Arc,2930,Joystick Basin Mixer,Variant,2812,Joystick Basin Mixer - Stainless Steel,ARC-SSF-87011B,Stainless Steel,https://www.jaquar.com/images/thumbs/0059466_joystick-basin-mixer-stainless-steel_960.jpeg,17300.00,Joystick Basin Mixer without Popup Waste with 450mm Long Braided Hoses,https://www.jaquar.com/en/arc-joystick-chrome-basin-mixer?Id=2930,"Arc, ARC-SSF-87011B, Stainless Steel"
Faucets,Arc,2963,Exposed Part Kit of Joystick Basin Mixer Wall Mounted,Parent,2813,Exposed Part Kit of Joystick Basin Mixer Wall Mounted - Chrome,ARC-CHR-87233K,Chrome,https://www.jaquar.com/images/thumbs/0013207_exposed-part-kit-of-joystick-basin-mixer-wall-mounted-chrome_960.jpeg,7900.00,"Exposed Part Kit of Joystick Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall Flange, Nipple & Spout (Compatible with ARC-87233C)",https://www.jaquar.com/en/arc-concealed-wall-basin-mixer-chrome-exposed-part?Id=2963,"Arc, ARC-CHR-87233K, Chrome"
Faucets,Arc,2963,Exposed Part Kit of Joystick Basin Mixer Wall Mounted,Variant,2813,Exposed Part Kit of Joystick Basin Mixer Wall Mounted - Antique Bronze,ARC-ABR-87233K,Antique Bronze,https://www.jaquar.com/images/thumbs/0052224_exposed-part-kit-of-joystick-basin-mixer-wall-mounted-antique-bronze_960.jpeg,13000.00,"Exposed Part Kit of Joystick Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall Flange, Nipple & Spout (Compatible with ARC-87233C)",https://www.jaquar.com/en/arc-concealed-wall-basin-mixer-chrome-exposed-part?Id=2963,"Arc, ARC-ABR-87233K, Antique Bronze"
Faucets,Arc,2963,Exposed Part Kit of Joystick Basin Mixer Wall Mounted,Variant,2813,Exposed Part Kit of Joystick Basin Mixer Wall Mounted - Antique Copper,ARC-ACR-87233K,Antique Copper,https://www.jaquar.com/images/thumbs/0023950_exposed-part-kit-of-joystick-basin-mixer-wall-mounted-antique-copper_960.jpeg,13000.00,"Exposed Part Kit of Joystick Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall Flange, Nipple & Spout (Compatible with ARC-87233C)",https://www.jaquar.com/en/arc-concealed-wall-basin-mixer-chrome-exposed-part?Id=2963,"Arc, ARC-ACR-87233K, Antique Copper"
Faucets,Arc,2963,Exposed Part Kit of Joystick Basin Mixer Wall Mounted,Variant,2813,Exposed Part Kit of Joystick Basin Mixer Wall Mounted - Black Chrome,ARC-BCH-87233K,Black Chrome,https://www.jaquar.com/images/thumbs/0013210_exposed-part-kit-of-joystick-basin-mixer-wall-mounted-black-chrome_960.jpeg,11400.00,"Exposed Part Kit of Joystick Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall Flange, Nipple & Spout (Compatible with ARC-87233C)",https://www.jaquar.com/en/arc-concealed-wall-basin-mixer-chrome-exposed-part?Id=2963,"Arc, ARC-BCH-87233K, Black Chrome"
Faucets,Arc,2963,Exposed Part Kit of Joystick Basin Mixer Wall Mounted,Variant,2813,Exposed Part Kit of Joystick Basin Mixer Wall Mounted - Black Matt,ARC-BLM-87233K,Black Matt,https://www.jaquar.com/images/thumbs/0052225_exposed-part-kit-of-joystick-basin-mixer-wall-mounted-black-matt_960.jpeg,11400.00,"Exposed Part Kit of Joystick Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall Flange, Nipple & Spout (Compatible with ARC-87233C)",https://www.jaquar.com/en/arc-concealed-wall-basin-mixer-chrome-exposed-part?Id=2963,"Arc, ARC-BLM-87233K, Black Matt"
Faucets,Arc,2963,Exposed Part Kit of Joystick Basin Mixer Wall Mounted,Variant,2813,Exposed Part Kit of Joystick Basin Mixer Wall Mounted - Graphite,ARC-GRF-87233K,Graphite,https://www.jaquar.com/images/thumbs/0013214_exposed-part-kit-of-joystick-basin-mixer-wall-mounted-graphite_960.jpeg,13000.00,"Exposed Part Kit of Joystick Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall Flange, Nipple & Spout (Compatible with ARC-87233C)",https://www.jaquar.com/en/arc-concealed-wall-basin-mixer-chrome-exposed-part?Id=2963,"Arc, ARC-GRF-87233K, Graphite"
Faucets,Arc,2963,Exposed Part Kit of Joystick Basin Mixer Wall Mounted,Variant,2813,Exposed Part Kit of Joystick Basin Mixer Wall Mounted - Stainless Steel,ARC-SSF-87233K,Stainless Steel,https://www.jaquar.com/images/thumbs/0038999_exposed-part-kit-of-joystick-basin-mixer-wall-mounted-stainless-steel_960.jpeg,13000.00,"Exposed Part Kit of Joystick Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall Flange, Nipple & Spout (Compatible with ARC-87233C)",https://www.jaquar.com/en/arc-concealed-wall-basin-mixer-chrome-exposed-part?Id=2963,"Arc, ARC-SSF-87233K, Stainless Steel"
Faucets,Arc,2944,Exposed Parts Kit of Joystick Concealed Diverter,Parent,4642,Exposed Parts Kit of Joystick Concealed Diverter - Chrome,ARC-CHR-87065K,Chrome,https://www.jaquar.com/images/thumbs/0013157_exposed-parts-kit-of-joystick-concealed-diverter-chrome_960.jpeg,5000.00,"Exposed Parts Kit of Joystick Concealed Diverter Consisting of Operating Lever, Cartridge Sleeve Set, Wall Flange (with Seals), Button Assembly Sleeve & Button (Suitable For Item ARC-87065C)",https://www.jaquar.com/en/exposed-parts-kit-of-joystick-concealed-diverter-2?Id=2944,"Arc, ARC-CHR-87065K, Chrome"
Faucets,Arc,2944,Exposed Parts Kit of Joystick Concealed Diverter,Variant,4642,Exposed Parts Kit of Joystick Concealed Diverter - Antique Bronze,ARC-ABR-87065K,Antique Bronze,https://www.jaquar.com/images/thumbs/0052220_exposed-parts-kit-of-joystick-concealed-diverter-antique-bronze_960.jpeg,8250.00,"Exposed Parts Kit of Joystick Concealed Diverter Consisting of Operating Lever, Cartridge Sleeve Set, Wall Flange (with Seals), Button Assembly Sleeve & Button (Suitable For Item ARC-87065C)",https://www.jaquar.com/en/exposed-parts-kit-of-joystick-concealed-diverter-2?Id=2944,"Arc, ARC-ABR-87065K, Antique Bronze"
Faucets,Arc,2944,Exposed Parts Kit of Joystick Concealed Diverter,Variant,4642,Exposed Parts Kit of Joystick Concealed Diverter - Antique Copper,ARC-ACR-87065K,Antique Copper,https://www.jaquar.com/images/thumbs/0053898_exposed-parts-kit-of-joystick-concealed-diverter-antique-copper_960.jpeg,8250.00,"Exposed Parts Kit of Joystick Concealed Diverter Consisting of Operating Lever, Cartridge Sleeve Set, Wall Flange (with Seals), Button Assembly Sleeve & Button (Suitable For Item ARC-87065C)",https://www.jaquar.com/en/exposed-parts-kit-of-joystick-concealed-diverter-2?Id=2944,"Arc, ARC-ACR-87065K, Antique Copper"
Faucets,Arc,2944,Exposed Parts Kit of Joystick Concealed Diverter,Variant,4642,Exposed Parts Kit of Joystick Concealed Diverter - Black Chrome,ARC-BCH-87065K,Black Chrome,https://www.jaquar.com/images/thumbs/0053788_exposed-parts-kit-of-joystick-concealed-diverter-black-chrome_960.jpeg,7200.00,"Exposed Parts Kit of Joystick Concealed Diverter Consisting of Operating Lever, Cartridge Sleeve Set, Wall Flange (with Seals), Button Assembly Sleeve & Button (Suitable For Item ARC-87065C)",https://www.jaquar.com/en/exposed-parts-kit-of-joystick-concealed-diverter-2?Id=2944,"Arc, ARC-BCH-87065K, Black Chrome"
Faucets,Arc,2944,Exposed Parts Kit of Joystick Concealed Diverter,Variant,4642,Exposed Parts Kit of Joystick Concealed Diverter - Black Matt,ARC-BLM-87065K,Black Matt,https://www.jaquar.com/images/thumbs/0052221_exposed-parts-kit-of-joystick-concealed-diverter-black-matt_960.jpeg,7200.00,"Exposed Parts Kit of Joystick Concealed Diverter Consisting of Operating Lever, Cartridge Sleeve Set, Wall Flange (with Seals), Button Assembly Sleeve & Button (Suitable For Item ARC-87065C)",https://www.jaquar.com/en/exposed-parts-kit-of-joystick-concealed-diverter-2?Id=2944,"Arc, ARC-BLM-87065K, Black Matt"
Faucets,Arc,2944,Exposed Parts Kit of Joystick Concealed Diverter,Variant,4642,Exposed Parts Kit of Joystick Concealed Diverter - Graphite,ARC-GRF-87065K,Graphite,https://www.jaquar.com/images/thumbs/0013163_exposed-parts-kit-of-joystick-concealed-diverter-graphite_960.jpeg,8250.00,"Exposed Parts Kit of Joystick Concealed Diverter Consisting of Operating Lever, Cartridge Sleeve Set, Wall Flange (with Seals), Button Assembly Sleeve & Button (Suitable For Item ARC-87065C)",https://www.jaquar.com/en/exposed-parts-kit-of-joystick-concealed-diverter-2?Id=2944,"Arc, ARC-GRF-87065K, Graphite"
Faucets,Arc,2944,Exposed Parts Kit of Joystick Concealed Diverter,Variant,4642,Exposed Parts Kit of Joystick Concealed Diverter - Stainless Steel,ARC-SSF-87065K,Stainless Steel,https://www.jaquar.com/images/thumbs/0038562_exposed-parts-kit-of-joystick-concealed-diverter-stainless-steel_960.jpeg,8250.00,"Exposed Parts Kit of Joystick Concealed Diverter Consisting of Operating Lever, Cartridge Sleeve Set, Wall Flange (with Seals), Button Assembly Sleeve & Button (Suitable For Item ARC-87065C)",https://www.jaquar.com/en/exposed-parts-kit-of-joystick-concealed-diverter-2?Id=2944,"Arc, ARC-SSF-87065K, Stainless Steel"
Faucets,Arc,6536,Joystick 1-Hole Bidet Mixer,Parent,6354,Joystick 1-Hole Bidet Mixer - Chrome,ARC-CHR-87213B,Chrome,https://www.jaquar.com/images/thumbs/0033607_joystick-1-hole-bidet-mixer-chrome_960.jpeg,9900.00,Joystick 1-Hole Bidet Mixer with Popup Waste System & 375mm Long Braided Hoses,https://www.jaquar.com/en/joystick-1-hole-bidet-mixer?Id=6536,"Arc, ARC-CHR-87213B, Chrome"
Faucets,Arc,6536,Joystick 1-Hole Bidet Mixer,Variant,6354,Joystick 1-Hole Bidet Mixer - Antique Bronze,ARC-ABR-87213B,Antique Bronze,https://www.jaquar.com/images/thumbs/0052927_joystick-1-hole-bidet-mixer-antique-bronze_960.jpeg,16300.00,Joystick 1-Hole Bidet Mixer with Popup Waste System & 375mm Long Braided Hoses,https://www.jaquar.com/en/joystick-1-hole-bidet-mixer?Id=6536,"Arc, ARC-ABR-87213B, Antique Bronze"
Faucets,Arc,6536,Joystick 1-Hole Bidet Mixer,Variant,6354,Joystick 1-Hole Bidet Mixer - Antique Copper,ARC-ACR-87213B,Antique Copper,https://www.jaquar.com/images/thumbs/0053899_joystick-1-hole-bidet-mixer-antique-copper_960.jpeg,16300.00,Joystick 1-Hole Bidet Mixer with Popup Waste System & 375mm Long Braided Hoses,https://www.jaquar.com/en/joystick-1-hole-bidet-mixer?Id=6536,"Arc, ARC-ACR-87213B, Antique Copper"
