category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Aria,917,Single Lever Basin Mixer,Parent,917,Single Lever Basin Mixer,ARI-CHR-39001B,,https://www.jaquar.com/images/thumbs/0043155_single-lever-basin-mixer_960.jpeg,,Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses,https://www.jaquar.com/en/aria-basin-mixer?Id=917,"Aria, ARI-CHR-39001B"
Faucets,Aria,1420,Single Lever Basin Mixer,Parent,1420,Single Lever Basin Mixer,ARI-CHR-39051B,,https://www.jaquar.com/images/thumbs/0044254_single-lever-basin-mixer_960.jpeg,,Single Lever Basin Mixer with Popup Waste & 450mm Long Braided Hoses,https://www.jaquar.com/en/aria-basin-mixer-with-pop-up-waste-system?Id=1420,"Aria, ARI-CHR-39051B"
Faucets,Aria,919,Single Lever Tall Boy,Parent,919,Single Lever Tall Boy,ARI-CHR-39005B,,https://www.jaquar.com/images/thumbs/0044255_single-lever-tall-boy_960.jpeg,,Single Lever Tall Boy with 150mm Extension Body & 600mm Long Braided Hoses,https://www.jaquar.com/en/aria-basin-mixer-tall-boy?Id=919,"Aria, ARI-CHR-39005B"
Faucets,Aria,918,Exposed Part Kit of Single Lever Basin Mixer,Parent,918,Exposed Part Kit of Single Lever Basin Mixer,ARI-CHR-39233NK,,https://www.jaquar.com/images/thumbs/0008343_exposed-part-kit-of-single-lever-basin-mixer_960.jpeg,,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall Flange, Nipple & Spout (Compatible with ALD-233N or ALD-235N)",https://www.jaquar.com/en/aria-concealed-wall-basin-mixer?Id=918,"Aria, ARI-CHR-39233NK"
Faucets,Aria,920,Single Lever Wall Mixer,Parent,920,Single Lever Wall Mixer,ARI-CHR-39119,,https://www.jaquar.com/images/thumbs/0013082_single-lever-wall-mixer_960.jpeg,,"Single Lever Wall Mixer with Provision of Hand Shower, But without Hand Shower",https://www.jaquar.com/en/aria-wall-mixer-with-hand-shower-provision?Id=920,"Aria, ARI-CHR-39119"
Faucets,Aria,1313,Single Lever Exposed Shower Mixer,Parent,1313,Single Lever Exposed Shower Mixer,ARI-CHR-39145,,https://www.jaquar.com/images/thumbs/0008347_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211NH or SHA-1213) & Hand Shower with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/aria-wall-mixer-exposed-shower-and-hand-shower?Id=1313,"Aria, ARI-CHR-39145"
Faucets,Aria,1314,Single Lever Exposed Shower Mixer,Parent,1314,Single Lever Exposed Shower Mixer,ARI-CHR-39147,,https://www.jaquar.com/images/thumbs/0008349_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer with Provision for Connection to Exposed Shower Pipe (SHA-1211N) with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/aria-exposed-shower-mixer?Id=1314,"Aria, ARI-CHR-39147"
Faucets,Aria,2071,Single Lever Exposed Shower Mixer,Parent,2071,Single Lever Exposed Shower Mixer,ARI-CHR-39149,,https://www.jaquar.com/images/thumbs/0008351_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/single-lever-exposed-hand-shower-mixer-aria?Id=2071,"Aria, ARI-CHR-39149"
Faucets,Aria,1445,Single Lever Exposed Parts Kit of Deusch Mixer,Parent,1445,Single Lever Exposed Parts Kit of Deusch Mixer,ARI-CHR-39227K,,https://www.jaquar.com/images/thumbs/0008353_single-lever-exposed-parts-kit-of-deusch-mixer_960.jpeg,,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve & Wall Flange with Seals (Compatible with ALD-227 or ALD-229)",https://www.jaquar.com/en/aria-deusch-shower-mixer?Id=1445,"Aria, ARI-CHR-39227K"
Faucets,Aria,1297,Single Lever Exposed Parts Kit of Diverter,Parent,1297,Single Lever Exposed Parts Kit of Diverter,ARI-CHR-39065MK,,https://www.jaquar.com/images/thumbs/0008357_single-lever-exposed-parts-kit-of-diverter_960.jpeg,,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals) & Button Assembly Sleeve & Button (Compatible with ALD-065M)",https://www.jaquar.com/en/aria-divertor-plate_ald-065?Id=1297,"Aria, ARI-CHR-39065MK"
Faucets,Aria,921,Single Lever Exposed Parts Kit of Hi-flow Diverter,Parent,921,Single Lever Exposed Parts Kit of Hi-flow Diverter,ARI-CHR-39079NK,,https://www.jaquar.com/images/thumbs/0008359_single-lever-exposed-parts-kit-of-hi-flow-diverter_960.jpeg,,"Single Lever Exposed Parts Kit of Hi-flow Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals), Button Assembly Sleeve & Button (Compatible with ALD-079N)",https://www.jaquar.com/en/aria-high-flow-divertor-plate_ald-079?Id=921,"Aria, ARI-CHR-39079NK"
Faucets,Aria,925,Single Lever 3-inlet Diverter Exposed Parts Kit,Parent,925,Single Lever 3-inlet Diverter Exposed Parts Kit,ARI-CHR-39193NK,,https://www.jaquar.com/images/thumbs/0008361_single-lever-3-inlet-diverter-exposed-parts-kit_960.jpeg,,"Single Lever 3-inlet Diverter Exposed parts kit Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals), Button Assembly Sleeve and Button Cap (Compatible with ALD-193N)",https://www.jaquar.com/en/aria-divertor-plate_ald-193?Id=925,"Aria, ARI-CHR-39193NK"
