category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Clarion,154,Central Hole Basin Mixer,Parent,154,Central Hole Basin Mixer,CQT-CHR-23167B,,https://www.jaquar.com/images/thumbs/0008916_central-hole-basin-mixer_960.jpeg,,Central Hole Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/clarion-basin-mixer?Id=154,"Clarion, CQT-CHR-23167B"
Faucets,Clarion,1698,Central Hole Basin Mixer,Parent,1698,Central Hole Basin Mixer,CQT-CHR-23169B,,https://www.jaquar.com/images/thumbs/0006174_central-hole-basin-mixer_960.jpeg,,Central Hole Basin Mixer with Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/clarion-basin-mixer-with-pop-up-waste?Id=1698,"Clarion, CQT-CHR-23169B"
Faucets,Clarion,156,Pillar Cock,Parent,156,Pillar Cock,CQT-CHR-23011,,https://www.jaquar.com/images/thumbs/0010262_pillar-cock_960.jpeg,,Pillar Cock,https://www.jaquar.com/en/pillar-cock-clarion?Id=156,"Clarion, CQT-CHR-23011"
Faucets,Clarion,157,Pillar Cock,Parent,157,Pillar Cock,CQT-CHR-23021,,https://www.jaquar.com/images/thumbs/0008919_pillar-cock_960.jpeg,,Pillar Cock with Long Neck,https://www.jaquar.com/en/long-neck-pillar-cock-clarion?Id=157,"Clarion, CQT-CHR-23021"
Faucets,Clarion,204,Swan Neck Tap,Parent,204,Swan Neck Tap,CQT-CHR-23123,,https://www.jaquar.com/images/thumbs/0008922_swan-neck-tap_960.jpeg,,Swan Neck Tap with Left Hand Operating Knob,https://www.jaquar.com/en/clarion-swan-neck-tap-left-hand?Id=204,"Clarion, CQT-CHR-23123"
Faucets,Clarion,1699,Swan Neck Tap,Parent,1699,Swan Neck Tap,CQT-CHR-23127,,https://www.jaquar.com/images/thumbs/0056112_swan-neck-tap_960.jpeg,,Swan Neck Tap with Right Hand Operating Knob,https://www.jaquar.com/en/clarion-swan-neck-tap-right-hand?Id=1699,"Clarion, CQT-CHR-23127"
Faucets,Clarion,205,Wall Mixer Non-Telephonic Shower Arrangement,Parent,205,Wall Mixer Non-Telephonic Shower Arrangement,CQT-CHR-23219,,https://www.jaquar.com/images/thumbs/0008925_wall-mixer-non-telephonic-shower-arrangement_960.jpeg,,Wall Mixer Non-Telephonic Shower Arrangement with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/clarion-wall-mixer?Id=205,"Clarion, CQT-CHR-23219"
Faucets,Clarion,1513,Wall Mixer,Parent,1513,Wall Mixer,CQT-CHR-23217UPR,,https://www.jaquar.com/images/thumbs/0008927_wall-mixer_960.jpeg,,"Wall Mixer with Telephone Shower Arrangement, Connecting Legs & Wall Flanges but without Crutch & Telephone Shower",https://www.jaquar.com/en/clarion-wall-mixer-with-telephonic-shower-provision?Id=1513,"Clarion, CQT-CHR-23217UPR"
Faucets,Clarion,207,Wall Mixer,Parent,207,Wall Mixer,CQT-CHR-23267,,https://www.jaquar.com/images/thumbs/0018621_wall-mixer_960.jpeg,,"Wall Mixer with Connector for Hand Shower arrangement with Connecting Legs, Wall Flanges & Wall Bracket for Hand Shower",https://www.jaquar.com/en/clarion-wall-mixer-with-hand-shower-provision?Id=207,"Clarion, CQT-CHR-23267"
Faucets,Clarion,208,Wall Mixer,Parent,208,Wall Mixer,CQT-CHR-23273UPR,,https://www.jaquar.com/images/thumbs/0008932_wall-mixer_960.jpeg,,"Wall Mixer with Provision for overhead Shower with 115mm Long Bend Pipe on Upper Side, Connecting Legs & Wall Flanges",https://www.jaquar.com/en/clarion-wall-mixer-with-overhead-shower-provision?Id=208,"Clarion, CQT-CHR-23273UPR"
