category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Continental Prime,4612,Single Lever Basin Mixer,Parent,4612,Single Lever Basin Mixer,COP-CHR-001BPM,,https://www.jaquar.com/images/thumbs/0023197_single-lever-basin-mixer_960.jpeg,,Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses,https://www.jaquar.com/en/continental_prime-single-lever-basin-mixer?Id=4612,"Continental Prime, COP-CHR-001BPM"
Faucets,Continental Prime,4613,Single Lever Basin Mixer with Popup Waste,Parent,4613,Single Lever Basin Mixer with Popup Waste,COP-CHR-051BPM,,https://www.jaquar.com/images/thumbs/0023199_single-lever-basin-mixer-with-popup-waste_960.jpeg,,Single Lever Basin Mixer with Popup Waste with 450mm Long Braided Hoses,https://www.jaquar.com/en/continental_prime-single-lever-basin-mixer-pop-up-waste?Id=4613,"Continental Prime, COP-CHR-051BPM"
Faucets,Continental Prime,4614,Single Lever Tall Boy,Parent,4614,Single Lever Tall Boy,COP-CHR-005BPM,,https://www.jaquar.com/images/thumbs/0023201_single-lever-tall-boy_960.jpeg,,"Single Lever Tall Boy without Popup Waste System, with 600mm Long Braided Hoses",https://www.jaquar.com/en/continental_prime-tall-boy-single-lever-basin-mixer?Id=4614,"Continental Prime, COP-CHR-005BPM"
Faucets,Continental Prime,9443,Exposed Part Kit of Single Lever Basin Mixer Wall Mounted,Parent,9443,Exposed Part Kit of Single Lever Basin Mixer Wall Mounted,COP-CHR-233NKPM,,https://www.jaquar.com/images/thumbs/0048036_exposed-part-kit-of-single-lever-basin-mixer-wall-mounted_960.jpeg,,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall Flange, Nipple & Spout (Compatible with ALD-233N or ALD-235N)",https://www.jaquar.com/en/exposed-part-kit-of-single-lever-basin-mixer-wall-mounted-6?Id=9443,"Continental Prime, COP-CHR-233NKPM"
Faucets,Continental Prime,4615,Single Lever Wall Mixer,Parent,4615,Single Lever Wall Mixer,COP-CHR-119PM,,https://www.jaquar.com/images/thumbs/0023203_single-lever-wall-mixer_960.jpeg,,"Single Lever Wall Mixer with Provision of Hand Shower, But without Hand Shower",https://www.jaquar.com/en/continental_prime-single-lever-wall-mixer-handshower-provision?Id=4615,"Continental Prime, COP-CHR-119PM"
Faucets,Continental Prime,10296,Single Lever Exposed Shower Mixer,Parent,10296,Single Lever Exposed Shower Mixer,COP-CHR-145PM,,https://www.jaquar.com/images/thumbs/0048037_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211NH or SHA-1213) & Hand Shower with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/single-lever-exposed-shower-mixer-13?Id=10296,"Continental Prime, COP-CHR-145PM"
Faucets,Continental Prime,10297,Single Lever Exposed Shower Mixer,Parent,10297,Single Lever Exposed Shower Mixer,COP-CHR-149PM,,https://www.jaquar.com/images/thumbs/0048039_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/single-lever-exposed-shower-mixer-14?Id=10297,"Continental Prime, COP-CHR-149PM"
Faucets,Continental Prime,4616,Single Lever Exposed Parts Kit of Deusch Mixer,Parent,4616,Single Lever Exposed Parts Kit of Deusch Mixer,COP-CHR-227KPM,,https://www.jaquar.com/images/thumbs/0023205_single-lever-exposed-parts-kit-of-deusch-mixer_960.jpeg,,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve & Wall Flange with Seals (Compatible with ALD-227 & ALD-229)",https://www.jaquar.com/en/continental_prime-deusch-mixer-shower?Id=4616,"Continental Prime, COP-CHR-227KPM"
Faucets,Continental Prime,4617,Single Lever Exposed Parts Kit of Diverter,Parent,4617,Single Lever Exposed Parts Kit of Diverter,COP-CHR-055KPM,,https://www.jaquar.com/images/thumbs/0023207_single-lever-exposed-parts-kit-of-diverter_960.jpeg,,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals) Button Assembly Sleeve & Button (Compatible with ALD-055N)",https://www.jaquar.com/en/continental_prime-ald055n-divertor-plate?Id=4617,"Continental Prime, COP-CHR-055KPM"
Faucets,Continental Prime,9444,Single Lever Exposed Parts Kit of Diverter,Parent,9444,Single Lever Exposed Parts Kit of Diverter,COP-CHR-065MKPM,,https://www.jaquar.com/images/thumbs/0048041_single-lever-exposed-parts-kit-of-diverter_960.jpeg,,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals) & Button Assembly Sleeve & Button (Compatible with ALD-065M)",https://www.jaquar.com/en/single-lever-exposed-parts-kit-of-diverter-4?Id=9444,"Continental Prime, COP-CHR-065MKPM"
