category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Floor Standing Mixer,4025,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Parent,4025,Exposed Parts of Floor Mounted Single Lever Bath Mixer,LYR-CHR-38121K,,https://www.jaquar.com/images/thumbs/0015441_exposed-parts-of-floor-mounted-single-lever-bath-mixer_960.jpeg,,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/lyric-exposed-parts-of-floor-mounted-single-lever-bath-mixer?Id=4025,"Floor Standing Mixer, LYR-CHR-38121K"
Faucets,Floor Standing Mixer,4026,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Parent,4026,Exposed Parts of Floor Mounted Single Lever Bath Mixer,ARI-CHR-39121K,,https://www.jaquar.com/images/thumbs/0015443_exposed-parts-of-floor-mounted-single-lever-bath-mixer_960.jpeg,,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/aria-floor-mounted-bath-lever?Id=4026,"Floor Standing Mixer, ARI-CHR-39121K"
Faucets,Floor Standing Mixer,4031,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Parent,4031,Exposed Parts of Floor Mounted Single Lever Bath Mixer,SOL-CHR-6121K,,https://www.jaquar.com/images/thumbs/0015452_exposed-parts-of-floor-mounted-single-lever-bath-mixer_960.jpeg,,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/solo-floor-mounted-bath-lever?Id=4031,"Floor Standing Mixer, SOL-CHR-6121K"
Faucets,Floor Standing Mixer,4032,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Parent,4032,Exposed Parts of Floor Mounted Single Lever Bath Mixer,FUS-CHR-29121K,,https://www.jaquar.com/images/thumbs/0015454_exposed-parts-of-floor-mounted-single-lever-bath-mixer_960.jpeg,,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/fusion-floor-mounted-bath-lever?Id=4032,"Floor Standing Mixer, FUS-CHR-29121K"
Faucets,Floor Standing Mixer,5951,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Parent,4028,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Chrome,ALI-CHR-85121K,Chrome,https://www.jaquar.com/images/thumbs/0067380_exposed-parts-of-floor-mounted-single-lever-bath-mixer-chrome_960.jpeg,43500.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)
",https://www.jaquar.com/en/exposed-parts-of-floor-mounted-single-lever-bath-mixer-4?Id=5951,"Floor Standing Mixer, ALI-CHR-85121K, Chrome"
Faucets,Floor Standing Mixer,5951,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4028,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,ALI-ABR-85121K,Antique Bronze,https://www.jaquar.com/images/thumbs/0052182_exposed-parts-of-floor-mounted-single-lever-bath-mixer-antique-bronze_960.jpeg,71800.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)
",https://www.jaquar.com/en/exposed-parts-of-floor-mounted-single-lever-bath-mixer-4?Id=5951,"Floor Standing Mixer, ALI-ABR-85121K, Antique Bronze"
Faucets,Floor Standing Mixer,5951,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4028,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,ALI-ACR-85121K,Antique Copper,https://www.jaquar.com/images/thumbs/0060532_exposed-parts-of-floor-mounted-single-lever-bath-mixer-antique-copper_960.jpeg,71800.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)
",https://www.jaquar.com/en/exposed-parts-of-floor-mounted-single-lever-bath-mixer-4?Id=5951,"Floor Standing Mixer, ALI-ACR-85121K, Antique Copper"
Faucets,Floor Standing Mixer,5951,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4028,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Black Chrome,ALI-BCH-85121K,Black Chrome,https://www.jaquar.com/images/thumbs/0067408_exposed-parts-of-floor-mounted-single-lever-bath-mixer-black-chrome_960.jpeg,62800.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)
",https://www.jaquar.com/en/exposed-parts-of-floor-mounted-single-lever-bath-mixer-4?Id=5951,"Floor Standing Mixer, ALI-BCH-85121K, Black Chrome"
Faucets,Floor Standing Mixer,5951,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4028,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Black Matt,ALI-BLM-85121K,Black Matt,https://www.jaquar.com/images/thumbs/0052183_exposed-parts-of-floor-mounted-single-lever-bath-mixer-black-matt_960.jpeg,62800.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)
",https://www.jaquar.com/en/exposed-parts-of-floor-mounted-single-lever-bath-mixer-4?Id=5951,"Floor Standing Mixer, ALI-BLM-85121K, Black Matt"
Faucets,Floor Standing Mixer,5951,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4028,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,ALI-GRF-85121K,Graphite,https://www.jaquar.com/images/thumbs/0067362_exposed-parts-of-floor-mounted-single-lever-bath-mixer-graphite_960.jpeg,71800.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)
",https://www.jaquar.com/en/exposed-parts-of-floor-mounted-single-lever-bath-mixer-4?Id=5951,"Floor Standing Mixer, ALI-GRF-85121K, Graphite"
Faucets,Floor Standing Mixer,5951,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4028,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,ALI-SSF-85121K,Stainless Steel,https://www.jaquar.com/images/thumbs/0060570_exposed-parts-of-floor-mounted-single-lever-bath-mixer-stainless-steel_960.jpeg,71800.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)
",https://www.jaquar.com/en/exposed-parts-of-floor-mounted-single-lever-bath-mixer-4?Id=5951,"Floor Standing Mixer, ALI-SSF-85121K, Stainless Steel"
Faucets,Floor Standing Mixer,6093,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Parent,4029,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Chrome,KUP-CHR-35121KPM,Chrome,https://www.jaquar.com/images/thumbs/0060256_exposed-parts-of-floor-mounted-single-lever-bath-mixer-chrome_960.jpeg,44500.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/kubix-prime-floor-mounted-bath-lever?Id=6093,"Floor Standing Mixer, KUP-CHR-35121KPM, Chrome"
Faucets,Floor Standing Mixer,6093,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4029,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,KUP-ABR-35121KPM,Antique Bronze,https://www.jaquar.com/images/thumbs/0052273_exposed-parts-of-floor-mounted-single-lever-bath-mixer-antique-bronze_960.jpeg,73400.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/kubix-prime-floor-mounted-bath-lever?Id=6093,"Floor Standing Mixer, KUP-ABR-35121KPM, Antique Bronze"
Faucets,Floor Standing Mixer,6093,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4029,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,KUP-ACR-35121KPM,Antique Copper,https://www.jaquar.com/images/thumbs/0060346_exposed-parts-of-floor-mounted-single-lever-bath-mixer-antique-copper_960.jpeg,73400.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/kubix-prime-floor-mounted-bath-lever?Id=6093,"Floor Standing Mixer, KUP-ACR-35121KPM, Antique Copper"
Faucets,Floor Standing Mixer,6093,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4029,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Black Chrome,KUP-BCH-35121KPM,Black Chrome,https://www.jaquar.com/images/thumbs/0053349_exposed-parts-of-floor-mounted-single-lever-bath-mixer-black-chrome_960.jpeg,64200.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/kubix-prime-floor-mounted-bath-lever?Id=6093,"Floor Standing Mixer, KUP-BCH-35121KPM, Black Chrome"
Faucets,Floor Standing Mixer,6093,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4029,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Black Matt,KUP-BLM-35121KPM,Black Matt,https://www.jaquar.com/images/thumbs/0052274_exposed-parts-of-floor-mounted-single-lever-bath-mixer-black-matt_960.jpeg,64200.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/kubix-prime-floor-mounted-bath-lever?Id=6093,"Floor Standing Mixer, KUP-BLM-35121KPM, Black Matt"
Faucets,Floor Standing Mixer,6093,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4029,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,KUP-GRF-35121KPM,Graphite,https://www.jaquar.com/images/thumbs/0060345_exposed-parts-of-floor-mounted-single-lever-bath-mixer-graphite_960.jpeg,73400.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/kubix-prime-floor-mounted-bath-lever?Id=6093,"Floor Standing Mixer, KUP-GRF-35121KPM, Graphite"
Faucets,Floor Standing Mixer,6093,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4029,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,KUP-SSF-35121KPM,Stainless Steel,https://www.jaquar.com/images/thumbs/0060680_exposed-parts-of-floor-mounted-single-lever-bath-mixer-stainless-steel_960.jpeg,73400.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/kubix-prime-floor-mounted-bath-lever?Id=6093,"Floor Standing Mixer, KUP-SSF-35121KPM, Stainless Steel"
Faucets,Floor Standing Mixer,6093,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4029,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Blush Gold Bright PVD,KUP-BGP-35121KPM,Blush Gold PVD,https://www.jaquar.com/images/thumbs/0059194_exposed-parts-of-floor-mounted-single-lever-bath-mixer-blush-gold-pvd_960.jpeg,66500.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/kubix-prime-floor-mounted-bath-lever?Id=6093,"Floor Standing Mixer, KUP-BGP-35121KPM, Blush Gold PVD"
Faucets,Floor Standing Mixer,6093,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4029,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Gold Bright PVD,KUP-GBP-35121KPM,Gold Bright PVD,https://www.jaquar.com/images/thumbs/0055885_exposed-parts-of-floor-mounted-single-lever-bath-mixer-gold-bright-pvd_960.jpeg,75700.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/kubix-prime-floor-mounted-bath-lever?Id=6093,"Floor Standing Mixer, KUP-GBP-35121KPM, Gold Bright PVD"
Faucets,Floor Standing Mixer,6093,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4029,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Gold Matt PVD,KUP-GMP-35121KPM,Gold Matt PVD,https://www.jaquar.com/images/thumbs/0055567_exposed-parts-of-floor-mounted-single-lever-bath-mixer-gold-matt-pvd_960.jpeg,75700.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/kubix-prime-floor-mounted-bath-lever?Id=6093,"Floor Standing Mixer, KUP-GMP-35121KPM, Gold Matt PVD"
Faucets,Floor Standing Mixer,6103,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Parent,4035,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Chrome,OPP-CHR-15121KPM,Chrome,https://www.jaquar.com/images/thumbs/0031328_exposed-parts-of-floor-mounted-single-lever-bath-mixer-chrome_960.jpeg,41500.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/opal-prime-floor-mounted-bath-lever?Id=6103,"Floor Standing Mixer, OPP-CHR-15121KPM, Chrome"
Faucets,Floor Standing Mixer,6103,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4035,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,OPP-ABR-15121KPM,Antique Bronze,https://www.jaquar.com/images/thumbs/0060318_exposed-parts-of-floor-mounted-single-lever-bath-mixer-antique-bronze_960.jpeg,68500.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/opal-prime-floor-mounted-bath-lever?Id=6103,"Floor Standing Mixer, OPP-ABR-15121KPM, Antique Bronze"
Faucets,Floor Standing Mixer,6103,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4035,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,OPP-ACR-15121KPM,Antique Copper,https://www.jaquar.com/images/thumbs/0060317_exposed-parts-of-floor-mounted-single-lever-bath-mixer-antique-copper_960.jpeg,68500.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/opal-prime-floor-mounted-bath-lever?Id=6103,"Floor Standing Mixer, OPP-ACR-15121KPM, Antique Copper"
Faucets,Floor Standing Mixer,6103,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4035,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Black Chrome,OPP-BCH-15121KPM,Black Chrome,https://www.jaquar.com/images/thumbs/0060316_exposed-parts-of-floor-mounted-single-lever-bath-mixer-black-chrome_960.jpeg,60000.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/opal-prime-floor-mounted-bath-lever?Id=6103,"Floor Standing Mixer, OPP-BCH-15121KPM, Black Chrome"
Faucets,Floor Standing Mixer,6103,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4035,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Black Matt,OPP-BLM-15121KPM,Black Matt,https://www.jaquar.com/images/thumbs/0060314_exposed-parts-of-floor-mounted-single-lever-bath-mixer-black-matt_960.jpeg,60000.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/opal-prime-floor-mounted-bath-lever?Id=6103,"Floor Standing Mixer, OPP-BLM-15121KPM, Black Matt"
Faucets,Floor Standing Mixer,6103,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4035,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Graphite,OPP-GRF-15121KPM,Graphite,https://www.jaquar.com/images/thumbs/0060311_exposed-parts-of-floor-mounted-single-lever-bath-mixer-graphite_960.jpeg,68500.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/opal-prime-floor-mounted-bath-lever?Id=6103,"Floor Standing Mixer, OPP-GRF-15121KPM, Graphite"
Faucets,Floor Standing Mixer,6103,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4035,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Stainless Steel,OPP-SSF-15121KPM,Stainless Steel,https://www.jaquar.com/images/thumbs/0060465_exposed-parts-of-floor-mounted-single-lever-bath-mixer-stainless-steel_960.jpeg,68500.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/opal-prime-floor-mounted-bath-lever?Id=6103,"Floor Standing Mixer, OPP-SSF-15121KPM, Stainless Steel"
Faucets,Floor Standing Mixer,6103,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4035,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Blush Gold Bright PVD,OPP-BGP-15121KPM,Blush Gold PVD,https://www.jaquar.com/images/thumbs/0060315_exposed-parts-of-floor-mounted-single-lever-bath-mixer-blush-gold-pvd_960.jpeg,62000.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/opal-prime-floor-mounted-bath-lever?Id=6103,"Floor Standing Mixer, OPP-BGP-15121KPM, Blush Gold PVD"
Faucets,Floor Standing Mixer,6103,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4035,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Gold Bright PVD,OPP-GBP-15121KPM,Gold Bright PVD,https://www.jaquar.com/images/thumbs/0060313_exposed-parts-of-floor-mounted-single-lever-bath-mixer-gold-bright-pvd_960.jpeg,70600.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/opal-prime-floor-mounted-bath-lever?Id=6103,"Floor Standing Mixer, OPP-GBP-15121KPM, Gold Bright PVD"
Faucets,Floor Standing Mixer,6103,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4035,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Gold Matt PVD,OPP-GMP-15121KPM,Gold Matt PVD,https://www.jaquar.com/images/thumbs/0060312_exposed-parts-of-floor-mounted-single-lever-bath-mixer-gold-matt-pvd_960.jpeg,70600.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/opal-prime-floor-mounted-bath-lever?Id=6103,"Floor Standing Mixer, OPP-GMP-15121KPM, Gold Matt PVD"
Faucets,Floor Standing Mixer,6113,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Parent,4036,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Chrome,ORP-CHR-10121KPM,Chrome,https://www.jaquar.com/images/thumbs/0031377_exposed-parts-of-floor-mounted-single-lever-bath-mixer-chrome_960.jpeg,41500.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)
",https://www.jaquar.com/en/ornamix-prime-floor-mounted-bath-lever?Id=6113,"Floor Standing Mixer, ORP-CHR-10121KPM, Chrome"
Faucets,Floor Standing Mixer,6113,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4036,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Bronze,ORP-ABR-10121KPM,Antique Bronze,https://www.jaquar.com/images/thumbs/0060290_exposed-parts-of-floor-mounted-single-lever-bath-mixer-antique-bronze_960.jpeg,68500.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)
",https://www.jaquar.com/en/ornamix-prime-floor-mounted-bath-lever?Id=6113,"Floor Standing Mixer, ORP-ABR-10121KPM, Antique Bronze"
Faucets,Floor Standing Mixer,6113,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Variant,4036,Exposed Parts of Floor Mounted Single Lever Bath Mixer - Antique Copper,ORP-ACR-10121KPM,Antique Copper,https://www.jaquar.com/images/thumbs/0060289_exposed-parts-of-floor-mounted-single-lever-bath-mixer-antique-copper_960.jpeg,68500.00,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)
",https://www.jaquar.com/en/ornamix-prime-floor-mounted-bath-lever?Id=6113,"Floor Standing Mixer, ORP-ACR-10121KPM, Antique Copper"
