category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Fusion,122,Single Lever Extended Basin Mixer,Parent,122,Single Lever Extended Basin Mixer,FUS-CHR-29023B,,https://www.jaquar.com/images/thumbs/0008546_single-lever-extended-basin-mixer_960.jpeg,,Single Lever Extended Basin Mixer (Height-85mm) without Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/fusion-basin-mixer-85mm-height?Id=122,"Fusion, FUS-CHR-29023B"
Faucets,Fusion,1478,Single Lever Extended Basin Mixer,Parent,1478,Single Lever Extended Basin Mixer,FUS-CHR-29052B,,https://www.jaquar.com/images/thumbs/0008547_single-lever-extended-basin-mixer_960.jpeg,,Single Lever Extended Basin Mixer (Height-85mm) with Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/fusion-basin-mixer-with-pop-up-waste-system?Id=1478,"Fusion, FUS-CHR-29052B"
Faucets,Fusion,1843,Single Lever Tall Boy,Parent,1843,Single Lever Tall Boy,FUS-CHR-29005NB,,https://www.jaquar.com/images/thumbs/0008551_single-lever-tall-boy_960.jpeg,,Single Lever Tall Boy with 150mm Extension Body Fixed Spout without Popup Waste System with 600mm Long Braided Hoses,https://www.jaquar.com/en/fusion-basin-mixer-150mm-tall-boy-extended-spout?Id=1843,"Fusion, FUS-CHR-29005NB"
Faucets,Fusion,124,Exposed Part Kit of Single Lever Basin Mixer,Parent,124,Exposed Part Kit of Single Lever Basin Mixer,FUS-CHR-29233NK,,https://www.jaquar.com/images/thumbs/0008553_exposed-part-kit-of-single-lever-basin-mixer_960.jpeg,,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall Flange, Nipple & Spout (Compatible with ALD-233N or ALD-235N)",https://www.jaquar.com/en/fusion-concealed-wall-basin-mixer?Id=124,"Fusion, FUS-CHR-29233NK"
Faucets,Fusion,125,Single Lever Wall Mixer,Parent,125,Single Lever Wall Mixer,FUS-CHR-29119,,https://www.jaquar.com/images/thumbs/0008555_single-lever-wall-mixer_960.jpeg,,"Single Lever Wall Mixer with Provision of Hand Shower, But without Hand Shower",https://www.jaquar.com/en/fusion-wall-mixer-with-hand-shower-provision?Id=125,"Fusion, FUS-CHR-29119"
Faucets,Fusion,126,Single Lever High Flow Bath Filler,Parent,126,Single Lever High Flow Bath Filler,FUS-CHR-29135,,https://www.jaquar.com/images/thumbs/0008557_single-lever-high-flow-bath-filler_960.jpeg,,Single Lever High Flow Bath Filler (Concealed Body) Wall Mounted Model with Bath Spout (Composite One Piece Body),https://www.jaquar.com/en/high-flow-bath-filler-fusion?Id=126,"Fusion, FUS-CHR-29135"
Faucets,Fusion,127,Single Lever High Flow Bath & Shower Mixer,Parent,127,Single Lever High Flow Bath & Shower Mixer,FUS-CHR-29137,,https://www.jaquar.com/images/thumbs/0008558_single-lever-high-flow-bath-shower-mixer_960.jpeg,,Single Lever High Flow Bath & Shower Mixer (Concealed Body) Wall Mounted Model with Button Spout (Composite One Piece Body),https://www.jaquar.com/en/high-flow-bath-and-shower-mixer-fusion?Id=127,"Fusion, FUS-CHR-29137"
Faucets,Fusion,1476,Single Lever Exposed Shower Mixer,Parent,1476,Single Lever Exposed Shower Mixer,FUS-CHR-29145,,https://www.jaquar.com/images/thumbs/0008560_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211NH or SHA-1213) & Hand Shower with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/fusion-wall-mixer-exposed-shower-and-hand-shower?Id=1476,"Fusion, FUS-CHR-29145"
Faucets,Fusion,1477,Single Lever Exposed Shower Mixer,Parent,1477,Single Lever Exposed Shower Mixer,FUS-CHR-29147,,https://www.jaquar.com/images/thumbs/0008562_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211N) with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/fusion-exposed-shower-mixer?Id=1477,"Fusion, FUS-CHR-29147"
Faucets,Fusion,130,Single Lever Exposed Shower Mixer,Parent,130,Single Lever Exposed Shower Mixer,FUS-CHR-29149,,https://www.jaquar.com/images/thumbs/0008564_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/fusion-exposed-hand-shower-mixer?Id=130,"Fusion, FUS-CHR-29149"
Faucets,Fusion,129,Single Lever Concealed Shower Mixer,Parent,129,Single Lever Concealed Shower Mixer,FUS-CHR-29139,,https://www.jaquar.com/images/thumbs/0008566_single-lever-concealed-shower-mixer_960.jpeg,,Single Lever Concealed Shower Mixer For Connection To Overhead Shower only,https://www.jaquar.com/en/fusion-shower-mixer?Id=129,"Fusion, FUS-CHR-29139"
Faucets,Fusion,131,Single Lever Exposed Parts Kit of Deusch Mixer,Parent,131,Single Lever Exposed Parts Kit of Deusch Mixer,FUS-CHR-29227K,,https://www.jaquar.com/images/thumbs/0008568_single-lever-exposed-parts-kit-of-deusch-mixer_960.jpeg,,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve & Wall Flange with Seals (Compatible with ALD-227 or ALD-229)",https://www.jaquar.com/en/fusion-deusch-shower-mixer?Id=131,"Fusion, FUS-CHR-29227K"
