category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Fusion Prime,11718,Single Lever Basin Mixer,Parent,11601,Single Lever Basin Mixer - Chrome,FUP-CHR-29011BPM,Chrome,https://www.jaquar.com/images/thumbs/0059259_single-lever-basin-mixer-chrome_960.jpeg,5050.00,Single Lever Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-basin-mixer?Id=11718,"Fusion Prime, FUP-CHR-29011BPM, Chrome"
Faucets,Fusion Prime,11718,Single Lever Basin Mixer,Variant,11601,Single Lever Basin Mixer - Black Chrome,FUP-BCH-29011BPM,Black Chrome,https://www.jaquar.com/images/thumbs/0057114_single-lever-basin-mixer-black-chrome_960.jpeg,7350.00,Single Lever Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-basin-mixer?Id=11718,"Fusion Prime, FUP-BCH-29011BPM, Black Chrome"
Faucets,Fusion Prime,11718,Single Lever Basin Mixer,Variant,11601,Single Lever Basin Mixer - Black Matt,FUP-BLM-29011BPM,Black Matt,https://www.jaquar.com/images/thumbs/0057115_single-lever-basin-mixer-black-matt_960.jpeg,7350.00,Single Lever Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-basin-mixer?Id=11718,"Fusion Prime, FUP-BLM-29011BPM, Black Matt"
Faucets,Fusion Prime,11718,Single Lever Basin Mixer,Variant,11601,Single Lever Basin Mixer - Blush Gold Bright PVD,FUP-BGP-29011BPM,Blush Gold PVD,https://www.jaquar.com/images/thumbs/0057116_single-lever-basin-mixer-blush-gold-pvd_960.jpeg,7600.00,Single Lever Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-basin-mixer?Id=11718,"Fusion Prime, FUP-BGP-29011BPM, Blush Gold PVD"
Faucets,Fusion Prime,11718,Single Lever Basin Mixer,Variant,11601,Single Lever Basin Mixer - Gold Bright PVD,FUP-GBP-29011BPM,Gold Bright PVD,https://www.jaquar.com/images/thumbs/0057117_single-lever-basin-mixer-gold-bright-pvd_960.jpeg,8700.00,Single Lever Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-basin-mixer?Id=11718,"Fusion Prime, FUP-GBP-29011BPM, Gold Bright PVD"
Faucets,Fusion Prime,11710,Single Lever Tall Boy,Parent,11605,Single Lever Tall Boy - Chrome,FUP-CHR-29005BPM,Chrome,https://www.jaquar.com/images/thumbs/0059263_single-lever-tall-boy-chrome_960.jpeg,6300.00,Single Lever Tall Boy with 190mm Extension Body Fixed Spout without Popup Waste System with 600mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-tall-boy?Id=11710,"Fusion Prime, FUP-CHR-29005BPM, Chrome"
Faucets,Fusion Prime,11710,Single Lever Tall Boy,Variant,11605,Single Lever Tall Boy - Black Chrome,FUP-BCH-29005BPM,Black Chrome,https://www.jaquar.com/images/thumbs/0057105_single-lever-tall-boy-black-chrome_960.jpeg,9200.00,Single Lever Tall Boy with 190mm Extension Body Fixed Spout without Popup Waste System with 600mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-tall-boy?Id=11710,"Fusion Prime, FUP-BCH-29005BPM, Black Chrome"
Faucets,Fusion Prime,11710,Single Lever Tall Boy,Variant,11605,Single Lever Tall Boy - Black Matt,FUP-BLM-29005BPM,Black Matt,https://www.jaquar.com/images/thumbs/0057106_single-lever-tall-boy-black-matt_960.jpeg,9200.00,Single Lever Tall Boy with 190mm Extension Body Fixed Spout without Popup Waste System with 600mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-tall-boy?Id=11710,"Fusion Prime, FUP-BLM-29005BPM, Black Matt"
Faucets,Fusion Prime,11710,Single Lever Tall Boy,Variant,11605,Single Lever Tall Boy - Blush Gold Bright PVD,FUP-BGP-29005BPM,Blush Gold PVD,https://www.jaquar.com/images/thumbs/0057107_single-lever-tall-boy-blush-gold-pvd_960.jpeg,9500.00,Single Lever Tall Boy with 190mm Extension Body Fixed Spout without Popup Waste System with 600mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-tall-boy?Id=11710,"Fusion Prime, FUP-BGP-29005BPM, Blush Gold PVD"
Faucets,Fusion Prime,11710,Single Lever Tall Boy,Variant,11605,Single Lever Tall Boy - Gold Bright PVD,FUP-GBP-29005BPM,Gold Bright PVD,https://www.jaquar.com/images/thumbs/0057108_single-lever-tall-boy-gold-bright-pvd_960.jpeg,10800.00,Single Lever Tall Boy with 190mm Extension Body Fixed Spout without Popup Waste System with 600mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-tall-boy?Id=11710,"Fusion Prime, FUP-GBP-29005BPM, Gold Bright PVD"
Faucets,Fusion Prime,11714,Single Lever Sink Mixer,Parent,11631,Single Lever Sink Mixer - Chrome,FUP-CHR-29009BPM,Chrome,https://www.jaquar.com/images/thumbs/0059289_single-lever-sink-mixer-chrome_960.jpeg,6550.00,Single Lever Sink Mixer with 210mm Extension Body Swinging Spout without Popup Waste (Table Mounted) with 600mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-sink-mixer?Id=11714,"Fusion Prime, FUP-CHR-29009BPM, Chrome"
Faucets,Fusion Prime,11714,Single Lever Sink Mixer,Variant,11631,Single Lever Sink Mixer - Black Chrome,FUP-BCH-29009BPM,Black Chrome,https://www.jaquar.com/images/thumbs/0057109_single-lever-sink-mixer-black-chrome_960.jpeg,9550.00,Single Lever Sink Mixer with 210mm Extension Body Swinging Spout without Popup Waste (Table Mounted) with 600mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-sink-mixer?Id=11714,"Fusion Prime, FUP-BCH-29009BPM, Black Chrome"
Faucets,Fusion Prime,11714,Single Lever Sink Mixer,Variant,11631,Single Lever Sink Mixer - Black Matt,FUP-BLM-29009BPM,Black Matt,https://www.jaquar.com/images/thumbs/0057110_single-lever-sink-mixer-black-matt_960.jpeg,9550.00,Single Lever Sink Mixer with 210mm Extension Body Swinging Spout without Popup Waste (Table Mounted) with 600mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-sink-mixer?Id=11714,"Fusion Prime, FUP-BLM-29009BPM, Black Matt"
Faucets,Fusion Prime,11714,Single Lever Sink Mixer,Variant,11631,Single Lever Sink Mixer - Blush Gold Bright PVD,FUP-BGP-29009BPM,Blush Gold PVD,https://www.jaquar.com/images/thumbs/0057111_single-lever-sink-mixer-blush-gold-bright-pvd_960.jpeg,9900.00,Single Lever Sink Mixer with 210mm Extension Body Swinging Spout without Popup Waste (Table Mounted) with 600mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-sink-mixer?Id=11714,"Fusion Prime, FUP-BGP-29009BPM, Blush Gold PVD"
Faucets,Fusion Prime,11714,Single Lever Sink Mixer,Variant,11631,Single Lever Sink Mixer - Gold Bright PVD,FUP-GBP-29009BPM,Gold Bright PVD,https://www.jaquar.com/images/thumbs/0057112_single-lever-sink-mixer-gold-bright-pvd_960.jpeg,11300.00,Single Lever Sink Mixer with 210mm Extension Body Swinging Spout without Popup Waste (Table Mounted) with 600mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-sink-mixer?Id=11714,"Fusion Prime, FUP-GBP-29009BPM, Gold Bright PVD"
Faucets,Fusion Prime,11722,Pillar Cock,Parent,11648,Pillar Cock - Chrome,FUP-CHR-29021PM,Chrome,https://www.jaquar.com/images/thumbs/0059298_pillar-cock-chrome_960.jpeg,4000.00,Pillar Cock with Extension Body,https://www.jaquar.com/en/fusion-prime-pillar-cock-extension-body?Id=11722,"Fusion Prime, FUP-CHR-29021PM, Chrome"
Faucets,Fusion Prime,11722,Pillar Cock,Variant,11648,Pillar Cock - Black Chrome,FUP-BCH-29021PM,Black Chrome,https://www.jaquar.com/images/thumbs/0057119_pillar-cock-black-chrome_960.jpeg,5900.00,Pillar Cock with Extension Body,https://www.jaquar.com/en/fusion-prime-pillar-cock-extension-body?Id=11722,"Fusion Prime, FUP-BCH-29021PM, Black Chrome"
Faucets,Fusion Prime,11722,Pillar Cock,Variant,11648,Pillar Cock - Black Matt,FUP-BLM-29021PM,Black Matt,https://www.jaquar.com/images/thumbs/0057120_pillar-cock-black-matt_960.jpeg,5900.00,Pillar Cock with Extension Body,https://www.jaquar.com/en/fusion-prime-pillar-cock-extension-body?Id=11722,"Fusion Prime, FUP-BLM-29021PM, Black Matt"
Faucets,Fusion Prime,11722,Pillar Cock,Variant,11648,Pillar Cock - Blush Gold Bright PVD,FUP-BGP-29021PM,Blush Gold PVD,https://www.jaquar.com/images/thumbs/0057121_pillar-cock-blush-gold-pvd_960.jpeg,6100.00,Pillar Cock with Extension Body,https://www.jaquar.com/en/fusion-prime-pillar-cock-extension-body?Id=11722,"Fusion Prime, FUP-BGP-29021PM, Blush Gold PVD"
Faucets,Fusion Prime,11722,Pillar Cock,Variant,11648,Pillar Cock - Gold Bright PVD,FUP-GBP-29021PM,Gold Bright PVD,https://www.jaquar.com/images/thumbs/0057122_pillar-cock-gold-bright-pvd_960.jpeg,6950.00,Pillar Cock with Extension Body,https://www.jaquar.com/en/fusion-prime-pillar-cock-extension-body?Id=11722,"Fusion Prime, FUP-GBP-29021PM, Gold Bright PVD"
Faucets,Fusion Prime,11734,Single Lever Basin Mixer with Popup Waste,Parent,11603,Single Lever Basin Mixer with Popup Waste - Chrome,FUP-CHR-29051BPM,Chrome,https://www.jaquar.com/images/thumbs/0059261_single-lever-basin-mixer-with-popup-waste-chrome_960.jpeg,6050.00,Single Lever Basin Mixer with Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-basin-mixer-with-popup-waste?Id=11734,"Fusion Prime, FUP-CHR-29051BPM, Chrome"
Faucets,Fusion Prime,11734,Single Lever Basin Mixer with Popup Waste,Variant,11603,Single Lever Basin Mixer with Popup Waste - Black Chrome,FUP-BCH-29051BPM,Black Chrome,https://www.jaquar.com/images/thumbs/0057132_single-lever-basin-mixer-with-popup-waste-black-chrome_960.jpeg,8850.00,Single Lever Basin Mixer with Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-basin-mixer-with-popup-waste?Id=11734,"Fusion Prime, FUP-BCH-29051BPM, Black Chrome"
Faucets,Fusion Prime,11734,Single Lever Basin Mixer with Popup Waste,Variant,11603,Single Lever Basin Mixer with Popup Waste - Black Matt,FUP-BLM-29051BPM,Black Matt,https://www.jaquar.com/images/thumbs/0057133_single-lever-basin-mixer-with-popup-waste-black-matt_960.jpeg,8850.00,Single Lever Basin Mixer with Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-basin-mixer-with-popup-waste?Id=11734,"Fusion Prime, FUP-BLM-29051BPM, Black Matt"
Faucets,Fusion Prime,11734,Single Lever Basin Mixer with Popup Waste,Variant,11603,Single Lever Basin Mixer with Popup Waste - Blush Gold Bright PVD,FUP-BGP-29051BPM,Blush Gold PVD,https://www.jaquar.com/images/thumbs/0057134_single-lever-basin-mixer-with-popup-waste-blush-gold-pvd_960.jpeg,9150.00,Single Lever Basin Mixer with Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-basin-mixer-with-popup-waste?Id=11734,"Fusion Prime, FUP-BGP-29051BPM, Blush Gold PVD"
Faucets,Fusion Prime,11734,Single Lever Basin Mixer with Popup Waste,Variant,11603,Single Lever Basin Mixer with Popup Waste - Gold Bright PVD,FUP-GBP-29051BPM,Gold Bright PVD,https://www.jaquar.com/images/thumbs/0057135_single-lever-basin-mixer-with-popup-waste-gold-bright-pvd_960.jpeg,10400.00,Single Lever Basin Mixer with Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/fusion-prime-single-lever-basin-mixer-with-popup-waste?Id=11734,"Fusion Prime, FUP-GBP-29051BPM, Gold Bright PVD"
Faucets,Fusion Prime,11742,Single Lever Exposed Parts Kit of Diverter,Parent,11621,Single Lever Exposed Parts Kit of Diverter - Chrome,FUP-CHR-29065MKPM,Chrome,https://www.jaquar.com/images/thumbs/0059279_single-lever-exposed-parts-kit-of-diverter-chrome_960.jpeg,2250.00,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals) & Button Assembly Sleeve & Button (Compatible with ALD-065M)",https://www.jaquar.com/en/fusion-prime-single-lever-exposed-parts-kit-of-diverter?Id=11742,"Fusion Prime, FUP-CHR-29065MKPM, Chrome"
Faucets,Fusion Prime,11742,Single Lever Exposed Parts Kit of Diverter,Variant,11621,Single Lever Exposed Parts Kit of Diverter - Black Chrome,FUP-BCH-29065MKPM,Black Chrome,https://www.jaquar.com/images/thumbs/0057140_single-lever-exposed-parts-kit-of-diverter-black-chrome_960.jpeg,3250.00,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals) & Button Assembly Sleeve & Button (Compatible with ALD-065M)",https://www.jaquar.com/en/fusion-prime-single-lever-exposed-parts-kit-of-diverter?Id=11742,"Fusion Prime, FUP-BCH-29065MKPM, Black Chrome"
Faucets,Fusion Prime,11742,Single Lever Exposed Parts Kit of Diverter,Variant,11621,Single Lever Exposed Parts Kit of Diverter - Black Matt,FUP-BLM-29065MKPM,Black Matt,https://www.jaquar.com/images/thumbs/0057141_single-lever-exposed-parts-kit-of-diverter-black-matt_960.jpeg,3250.00,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals) & Button Assembly Sleeve & Button (Compatible with ALD-065M)",https://www.jaquar.com/en/fusion-prime-single-lever-exposed-parts-kit-of-diverter?Id=11742,"Fusion Prime, FUP-BLM-29065MKPM, Black Matt"
Faucets,Fusion Prime,11742,Single Lever Exposed Parts Kit of Diverter,Variant,11621,Single Lever Exposed Parts Kit of Diverter - Blush Gold Bright PVD,FUP-BGP-29065MKPM,Blush Gold PVD,https://www.jaquar.com/images/thumbs/0057142_single-lever-exposed-parts-kit-of-diverter-blush-gold-pvd_960.jpeg,3350.00,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals) & Button Assembly Sleeve & Button (Compatible with ALD-065M)",https://www.jaquar.com/en/fusion-prime-single-lever-exposed-parts-kit-of-diverter?Id=11742,"Fusion Prime, FUP-BGP-29065MKPM, Blush Gold PVD"
Faucets,Fusion Prime,11742,Single Lever Exposed Parts Kit of Diverter,Variant,11621,Single Lever Exposed Parts Kit of Diverter - Gold Bright PVD,FUP-GBP-29065MKPM,Gold Bright PVD,https://www.jaquar.com/images/thumbs/0057143_single-lever-exposed-parts-kit-of-diverter-gold-bright-pvd_960.jpeg,3850.00,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals) & Button Assembly Sleeve & Button (Compatible with ALD-065M)",https://www.jaquar.com/en/fusion-prime-single-lever-exposed-parts-kit-of-diverter?Id=11742,"Fusion Prime, FUP-GBP-29065MKPM, Gold Bright PVD"
