category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Kubix Prime,9709,Sensor Faucet,Parent,9709,Sensor Faucet,SNR-CHR-35019PMEB,,https://www.jaquar.com/images/thumbs/0060244_sensor-faucet_960.jpeg,,Kubix Prime Sensor Faucet for Wash Basin (9V transformer),https://www.jaquar.com/en/sensor-faucet-2?Id=9709,"Kubix Prime, SNR-CHR-35019PMEB"
Faucets,Kubix Prime,4367,Sensor Faucet,Parent,4169,Sensor Faucet - Chrome,SNR-CHR-35019PM,Chrome,https://www.jaquar.com/images/thumbs/0060243_sensor-faucet-chrome_960.jpeg,11700.00,"Kubix Prime Sensor Faucet for Wash Basin (Battery Operated)
",https://www.jaquar.com/en/kubix-prime-sensor-faucet-for-wash-basin?Id=4367,"Kubix Prime, SNR-CHR-35019PM, Chrome"
Faucets,Kubix Prime,4367,Sensor Faucet,Variant,4169,Sensor Faucet - Antique Bronze,SNR-ABR-35019PM,Antique Bronze,https://www.jaquar.com/images/thumbs/0052459_sensor-faucet-antique-bronze_960.jpeg,19700.00,"Kubix Prime Sensor Faucet for Wash Basin (Battery Operated)
",https://www.jaquar.com/en/kubix-prime-sensor-faucet-for-wash-basin?Id=4367,"Kubix Prime, SNR-ABR-35019PM, Antique Bronze"
Faucets,Kubix Prime,4367,Sensor Faucet,Variant,4169,Sensor Faucet - Antique Copper,SNR-ACR-35019PM,Antique Copper,https://www.jaquar.com/images/thumbs/0067162_sensor-faucet-antique-copper_960.jpeg,19700.00,"Kubix Prime Sensor Faucet for Wash Basin (Battery Operated)
",https://www.jaquar.com/en/kubix-prime-sensor-faucet-for-wash-basin?Id=4367,"Kubix Prime, SNR-ACR-35019PM, Antique Copper"
Faucets,Kubix Prime,4367,Sensor Faucet,Variant,4169,Sensor Faucet - Black Chrome,SNR-BCH-35019PM,Black Chrome,https://www.jaquar.com/images/thumbs/0053847_sensor-faucet-black-chrome_960.jpeg,17300.00,"Kubix Prime Sensor Faucet for Wash Basin (Battery Operated)
",https://www.jaquar.com/en/kubix-prime-sensor-faucet-for-wash-basin?Id=4367,"Kubix Prime, SNR-BCH-35019PM, Black Chrome"
Faucets,Kubix Prime,4367,Sensor Faucet,Variant,4169,Sensor Faucet - Black Matt,SNR-BLM-35019PM,Black Matt,https://www.jaquar.com/images/thumbs/0052460_sensor-faucet-black-matt_960.jpeg,17300.00,"Kubix Prime Sensor Faucet for Wash Basin (Battery Operated)
",https://www.jaquar.com/en/kubix-prime-sensor-faucet-for-wash-basin?Id=4367,"Kubix Prime, SNR-BLM-35019PM, Black Matt"
Faucets,Kubix Prime,4367,Sensor Faucet,Variant,4169,Sensor Faucet - Graphite,SNR-GRF-35019PM,Graphite,https://www.jaquar.com/images/thumbs/0060330_sensor-faucet-graphite_960.jpeg,19700.00,"Kubix Prime Sensor Faucet for Wash Basin (Battery Operated)
",https://www.jaquar.com/en/kubix-prime-sensor-faucet-for-wash-basin?Id=4367,"Kubix Prime, SNR-GRF-35019PM, Graphite"
Faucets,Kubix Prime,4367,Sensor Faucet,Variant,4169,Sensor Faucet - Stainless Steel,SNR-SSF-35019PM,Stainless Steel,https://www.jaquar.com/images/thumbs/0060506_sensor-faucet-stainless-steel_960.jpeg,19700.00,"Kubix Prime Sensor Faucet for Wash Basin (Battery Operated)
",https://www.jaquar.com/en/kubix-prime-sensor-faucet-for-wash-basin?Id=4367,"Kubix Prime, SNR-SSF-35019PM, Stainless Steel"
Faucets,Kubix Prime,9710,Sensor Faucet for Wash Basin,Parent,9710,Sensor Faucet for Wash Basin,SNR-CHR-35019PMEBPK,,https://www.jaquar.com/images/thumbs/0069354_sensor-faucet-for-wash-basin_960.jpeg,,Kubix Prime Sensor Faucet for Wash Basin with Pre-mixed Water Supply Kit (9V transformer),https://www.jaquar.com/en/sensor-faucet-for-wash-basin-3?Id=9710,"Kubix Prime, SNR-CHR-35019PMEBPK"
Faucets,Kubix Prime,4378,Sensor Faucet for Wash Basin,Parent,4216,Sensor Faucet for Wash Basin - Chrome,SNR-CHR-35019PMPK,Chrome,https://www.jaquar.com/images/thumbs/0039158_sensor-faucet-for-wash-basin-chrome_960.jpeg,12550.00,"Kubix Prime Sensor Faucet for Wash Basin with Pre-mixed Water Supply Kit (Battery Operated)
",https://www.jaquar.com/en/kubix-prime-sensor-faucet?Id=4378,"Kubix Prime, SNR-CHR-35019PMPK, Chrome"
Faucets,Kubix Prime,4378,Sensor Faucet for Wash Basin,Variant,4216,Sensor Faucet for Wash Basin - Antique Bronze,SNR-ABR-35019PMPK,Antique Bronze,https://www.jaquar.com/images/thumbs/0052957_sensor-faucet-for-wash-basin-antique-bronze_960.jpeg,21200.00,"Kubix Prime Sensor Faucet for Wash Basin with Pre-mixed Water Supply Kit (Battery Operated)
",https://www.jaquar.com/en/kubix-prime-sensor-faucet?Id=4378,"Kubix Prime, SNR-ABR-35019PMPK, Antique Bronze"
