category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Laguna,10529,Single Lever Tall Boy,Parent,7351,Single Lever Tall Boy - Chrome,LAG-CHR-91005BWF,Chrome,https://www.jaquar.com/images/thumbs/0060611_single-lever-tall-boy-chrome_960.jpeg,15425.00,"Single Lever Tall Boy without Popup Waste System, with 600mm Long Braided Hoses and Base Flange",https://www.jaquar.com/en/single-lever-tall-boy-7?Id=10529,"Laguna, LAG-CHR-91005BWF, Chrome"
Faucets,Laguna,10529,Single Lever Tall Boy,Variant,7351,Single Lever Tall Boy - Black Chrome,LAG-BCH-91005BWF,Black Chrome,https://www.jaquar.com/images/thumbs/0060619_single-lever-tall-boy-black-chrome_960.jpeg,22300.00,"Single Lever Tall Boy without Popup Waste System, with 600mm Long Braided Hoses and Base Flange",https://www.jaquar.com/en/single-lever-tall-boy-7?Id=10529,"Laguna, LAG-BCH-91005BWF, Black Chrome"
Faucets,Laguna,10529,Single Lever Tall Boy,Variant,7351,Single Lever Tall Boy - Black Matt,LAG-BLM-91005BWF,Black Matt,https://www.jaquar.com/images/thumbs/0060613_single-lever-tall-boy-black-matt_960.jpeg,22300.00,"Single Lever Tall Boy without Popup Waste System, with 600mm Long Braided Hoses and Base Flange",https://www.jaquar.com/en/single-lever-tall-boy-7?Id=10529,"Laguna, LAG-BLM-91005BWF, Black Matt"
Faucets,Laguna,10529,Single Lever Tall Boy,Variant,7351,Single Lever Tall Boy - Black Chrome | Body: Black Matt,LAG-BBC-91005BWF,Lever: Black Chrome | Body: Black Matt,https://www.jaquar.com/images/thumbs/0060621_single-lever-tall-boy-black-chrome-body-black-matt_960.jpeg,22300.00,"Single Lever Tall Boy without Popup Waste System, with 600mm Long Braided Hoses and Base Flange",https://www.jaquar.com/en/single-lever-tall-boy-7?Id=10529,"Laguna, LAG-BBC-91005BWF, Lever: Black Chrome | Body: Black Matt"
Faucets,Laguna,10529,Single Lever Tall Boy,Variant,7351,Single Lever Tall Boy - Lever: Gold Matt PVD | Body: Black Matt,LAG-BGM-91005BWF,Lever: Gold Matt PVD | Body: Black Matt,https://www.jaquar.com/images/thumbs/0060617_single-lever-tall-boy-lever-gold-matt-pvd-body-black-matt_960.jpeg,23100.00,"Single Lever Tall Boy without Popup Waste System, with 600mm Long Braided Hoses and Base Flange",https://www.jaquar.com/en/single-lever-tall-boy-7?Id=10529,"Laguna, LAG-BGM-91005BWF, Lever: Gold Matt PVD | Body: Black Matt"
Faucets,Laguna,10529,Single Lever Tall Boy,Variant,7351,Single Lever Tall Boy - Gold Bright PVD,LAG-GBP-91005BWF,Gold Bright PVD,https://www.jaquar.com/images/thumbs/0060607_single-lever-tall-boy-gold-bright-pvd_960.jpeg,26300.00,"Single Lever Tall Boy without Popup Waste System, with 600mm Long Braided Hoses and Base Flange",https://www.jaquar.com/en/single-lever-tall-boy-7?Id=10529,"Laguna, LAG-GBP-91005BWF, Gold Bright PVD"
Faucets,Laguna,10529,Single Lever Tall Boy,Variant,7351,Single Lever Tall Boy - Lever: Gold Bright PVD | Body: Gold Matt PVD,LAG-GMG-91005BWF,Lever: Gold Bright PVD | Body: Gold Matt PVD,https://www.jaquar.com/images/thumbs/0060605_single-lever-tall-boy-lever-gold-bright-pvd-body-gold-matt-pvd_960.jpeg,26300.00,"Single Lever Tall Boy without Popup Waste System, with 600mm Long Braided Hoses and Base Flange",https://www.jaquar.com/en/single-lever-tall-boy-7?Id=10529,"Laguna, LAG-GMG-91005BWF, Lever: Gold Bright PVD | Body: Gold Matt PVD"
Faucets,Laguna,10529,Single Lever Tall Boy,Variant,7351,Single Lever Tall Boy - Gold Matt PVD,LAG-GMP-91005BWF,Gold Matt PVD,https://www.jaquar.com/images/thumbs/0060603_single-lever-tall-boy-gold-matt-pvd_960.jpeg,26300.00,"Single Lever Tall Boy without Popup Waste System, with 600mm Long Braided Hoses and Base Flange",https://www.jaquar.com/en/single-lever-tall-boy-7?Id=10529,"Laguna, LAG-GMP-91005BWF, Gold Matt PVD"
Faucets,Laguna,10529,Single Lever Tall Boy,Variant,7351,Single Lever Tall Boy - Blush Gold Bright PVD,LAG-BGP-91005BWF,Blush Gold PVD,https://www.jaquar.com/images/thumbs/0060615_single-lever-tall-boy-blush-gold-pvd_960.jpeg,23100.00,"Single Lever Tall Boy without Popup Waste System, with 600mm Long Braided Hoses and Base Flange",https://www.jaquar.com/en/single-lever-tall-boy-7?Id=10529,"Laguna, LAG-BGP-91005BWF, Blush Gold PVD"
Faucets,Laguna,12223,Single Lever Tall Boy,Parent,4738,Single Lever Tall Boy - Chrome.,LAG-CHR-91005B,Chrome,https://www.jaquar.com/images/thumbs/0060609_single-lever-tall-boy-chrome_960.jpeg,15300.00,Single Lever Tall Boy without Popup Waste System with 600mm Long Braided Hoses,https://www.jaquar.com/en/laguna-600mm-single-lever-tall-boy-mixer?Id=12223,"Laguna, LAG-CHR-91005B, Chrome"
