category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Lyric,1444,Single Lever Basin Mixer,Parent,1444,Single Lever Basin Mixer,LYR-CHR-38001B,,https://www.jaquar.com/images/thumbs/0032811_single-lever-basin-mixer_960.jpeg,,Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses,https://www.jaquar.com/en/single-lever-basin-mixer-lyric?Id=1444,"Lyric, LYR-CHR-38001B"
Faucets,Lyric,905,Single Lever Basin Mixer,Parent,905,Single Lever Basin Mixer,LYR-CHR-38051B,,https://www.jaquar.com/images/thumbs/0032813_single-lever-basin-mixer_960.jpeg,,Single Lever Basin Mixer with Popup Waste & 450mm Long Braided Hoses,https://www.jaquar.com/en/lyric-basin-mixer-with-pop-up-waste-system?Id=905,"Lyric, LYR-CHR-38051B"
Faucets,Lyric,907,Single Lever Tall Boy,Parent,907,Single Lever Tall Boy,LYR-CHR-38005B,,https://www.jaquar.com/images/thumbs/0032812_single-lever-tall-boy_960.jpeg,,Single Lever Tall Boy with 150mm Extension Body & 600mm Long Braided Hoses,https://www.jaquar.com/en/lyric-basin-mixer-tall-boy?Id=907,"Lyric, LYR-CHR-38005B"
Faucets,Lyric,1296,Exposed Part Kit of Single Lever Basin Mixer,Parent,1296,Exposed Part Kit of Single Lever Basin Mixer,LYR-CHR-38233NK,,https://www.jaquar.com/images/thumbs/0013075_exposed-part-kit-of-single-lever-basin-mixer_960.jpeg,,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall Flange, Nipple & Spout (Compatible with ALD-233N or ALD-235N)",https://www.jaquar.com/en/lyric-concealed-wall-basin-mixer?Id=1296,"Lyric, LYR-CHR-38233NK"
Faucets,Lyric,908,Single Lever Wall Mixer,Parent,908,Single Lever Wall Mixer,LYR-CHR-38119,,https://www.jaquar.com/images/thumbs/0013092_single-lever-wall-mixer_960.jpeg,,"Single Lever Wall Mixer with Provision of Hand Shower, But without Hand Shower",https://www.jaquar.com/en/lyric-wall-mixer-with-hand-shower-provision?Id=908,"Lyric, LYR-CHR-38119"
Faucets,Lyric,1343,Single Lever Exposed Shower Mixer,Parent,1343,Single Lever Exposed Shower Mixer,LYR-CHR-38145,,https://www.jaquar.com/images/thumbs/0008298_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211NH or SHA-1213) & Hand Shower with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/lyric-wall-mixer-exposed-shower-and-hand-shower?Id=1343,"Lyric, LYR-CHR-38145"
Faucets,Lyric,1344,Single Lever Exposed Shower Mixer,Parent,1344,Single Lever Exposed Shower Mixer,LYR-CHR-38147,,https://www.jaquar.com/images/thumbs/0008299_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211N) with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/lyric-exposed-shower-mixer?Id=1344,"Lyric, LYR-CHR-38147"
Faucets,Lyric,2070,Single Lever Exposed Shower Mixer,Parent,2070,Single Lever Exposed Shower Mixer,LYR-CHR-38149,,https://www.jaquar.com/images/thumbs/0008301_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/single-lever-exposed-hand-shower-mixer-lyric?Id=2070,"Lyric, LYR-CHR-38149"
Faucets,Lyric,1454,Single Lever Exposed Parts Kit of Deusch Mixer,Parent,1454,Single Lever Exposed Parts Kit of Deusch Mixer,LYR-CHR-38227K,,https://www.jaquar.com/images/thumbs/0008303_single-lever-exposed-parts-kit-of-deusch-mixer_960.jpeg,,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve & Wall Flange with Seals (Compatible with ALD-227 or ALD-229)",https://www.jaquar.com/en/lyric-deusch-shower-mixer?Id=1454,"Lyric, LYR-CHR-38227K"
Faucets,Lyric,909,Single Lever Exposed Parts Kit of Diverter,Parent,909,Single Lever Exposed Parts Kit of Diverter,LYR-CHR-38065MK,,https://www.jaquar.com/images/thumbs/0008306_single-lever-exposed-parts-kit-of-diverter_960.jpeg,,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals) & Button Assembly Sleeve & Button (Compatible with ALD-065M)",https://www.jaquar.com/en/lyric-divertor-plate_ald-065?Id=909,"Lyric, LYR-CHR-38065MK"
