category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Medi Series,11406,Florentine Prime Bib Cock,Parent,11405,Florentine Prime Bib Cock - Chrome,FLP-CHR-5043PM,Chrome,https://www.jaquar.com/images/thumbs/0054793_florentine-prime-bib-cock-chrome_960.jpeg,2975.00,"Florentine Prime Bib Cock with Extended Lever Handle & Wall Flange
",https://www.jaquar.com/en/florentine-prime-bib-cock-with-extended-lever-handle-wall-flange?Id=11406,"Medi Series, FLP-CHR-5043PM, Chrome"
Faucets,Medi Series,11406,Florentine Prime Bib Cock,Variant,11405,Florentine Prime Bib Cock - Black Matt,FLP-BLM-5043PM,Black Matt,https://www.jaquar.com/images/thumbs/0057297_florentine-prime-bib-cock-black-matt_960.jpeg,4400.00,"Florentine Prime Bib Cock with Extended Lever Handle & Wall Flange
",https://www.jaquar.com/en/florentine-prime-bib-cock-with-extended-lever-handle-wall-flange?Id=11406,"Medi Series, FLP-BLM-5043PM, Black Matt"
Faucets,Medi Series,11406,Florentine Prime Bib Cock,Variant,11405,Florentine Prime Bib Cock - Black Chrome,FLP-BCH-5043PM,Black Chrome,https://www.jaquar.com/images/thumbs/0055097_florentine-prime-bib-cock-black-chrome_960.jpeg,4400.00,"Florentine Prime Bib Cock with Extended Lever Handle & Wall Flange
",https://www.jaquar.com/en/florentine-prime-bib-cock-with-extended-lever-handle-wall-flange?Id=11406,"Medi Series, FLP-BCH-5043PM, Black Chrome"
Faucets,Medi Series,11402,Florentine Prime Pillar Cock,Parent,11401,Florentine Prime Pillar Cock - Chrome,FLP-CHR-5031PM,Chrome,https://www.jaquar.com/images/thumbs/0054786_florentine-prime-pillar-cock-chrome_960.jpeg,2800.00,"Florentine Prime Pillar Cock with Extended Lever Handle
",https://www.jaquar.com/en/florentine-prime-pillar-cock-with-extended-lever-handle?Id=11402,"Medi Series, FLP-CHR-5031PM, Chrome"
Faucets,Medi Series,11402,Florentine Prime Pillar Cock,Variant,11401,Florentine Prime Pillar Cock - Black Matt,FLP-BLM-5031PM,Black Matt,https://www.jaquar.com/images/thumbs/0057293_florentine-prime-pillar-cock-black-matt_960.jpeg,4150.00,"Florentine Prime Pillar Cock with Extended Lever Handle
",https://www.jaquar.com/en/florentine-prime-pillar-cock-with-extended-lever-handle?Id=11402,"Medi Series, FLP-BLM-5031PM, Black Matt"
Faucets,Medi Series,11402,Florentine Prime Pillar Cock,Variant,11401,Florentine Prime Pillar Cock with Extended Lever Handle - Black Chrome,FLP-BCH-5031PM,Black Chrome,https://www.jaquar.com/images/thumbs/0055095_florentine-prime-pillar-cock-with-extended-lever-handle-black-chrome_960.jpeg,4150.00,"Florentine Prime Pillar Cock with Extended Lever Handle
",https://www.jaquar.com/en/florentine-prime-pillar-cock-with-extended-lever-handle?Id=11402,"Medi Series, FLP-BCH-5031PM, Black Chrome"
Faucets,Medi Series,11398,Florentine Prime Single Lever Surgical Purpose Elbow Action Basin Mixer,Parent,11397,Florentine Prime Single Lever Surgical Purpose Elbow Action Basin Mixer - Chrome,FLP-CHR-5033BPM,Chrome,https://www.jaquar.com/images/thumbs/0054783_florentine-prime-single-lever-surgical-purpose-elbow-action-basin-mixer-chrome_960.jpeg,5400.00,"Florentine Prime Single Lever Surgical Purpose Elbow Action Basin Mixer with Extended Operating Lever without Popup Waste System with 450mm Long Braided Hoses
",https://www.jaquar.com/en/florentine-prime-single-lever-surgical-purpose-elbow-action-basin-mixer?Id=11398,"Medi Series, FLP-CHR-5033BPM, Chrome"
Faucets,Medi Series,11398,Florentine Prime Single Lever Surgical Purpose Elbow Action Basin Mixer,Variant,11397,Florentine Prime Single Lever Surgical Purpose Elbow Action Basin Mixer - Black Matt,FLP-BLM-5033BPM,Black Matt,https://www.jaquar.com/images/thumbs/0057294_florentine-prime-single-lever-surgical-purpose-elbow-action-basin-mixer-black-matt_960.jpeg,7900.00,"Florentine Prime Single Lever Surgical Purpose Elbow Action Basin Mixer with Extended Operating Lever without Popup Waste System with 450mm Long Braided Hoses
",https://www.jaquar.com/en/florentine-prime-single-lever-surgical-purpose-elbow-action-basin-mixer?Id=11398,"Medi Series, FLP-BLM-5033BPM, Black Matt"
Faucets,Medi Series,11398,Florentine Prime Single Lever Surgical Purpose Elbow Action Basin Mixer,Variant,11397,Florentine Prime Single Lever Surgical Purpose Elbow Action Basin Mixer - Black Chrome,FLP-BCH-5033BPM,Black Chrome,https://www.jaquar.com/images/thumbs/0055096_florentine-prime-single-lever-surgical-purpose-elbow-action-basin-mixer-black-chrome_960.jpeg,7900.00,Florentine Prime Single Lever Surgical Purpose Elbow Action Basin Mixer with Extended Operating Lever without Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/florentine-prime-single-lever-surgical-purpose-elbow-action-basin-mixer?Id=11398,"Medi Series, FLP-BCH-5033BPM, Black Chrome"
Faucets,Medi Series,11410,Single Lever Surgical Purpose Elbow Action Sink Mixer (Wall Mounted),Parent,11409,Single Lever Surgical Purpose Elbow Action Sink Mixer (Wall Mounted) - Chrome,FLP-CHR-5166PM,Chrome,https://www.jaquar.com/images/thumbs/0054798_single-lever-surgical-purpose-elbow-action-sink-mixer-wall-mounted-chrome_960.jpeg,6450.00,"Single Lever Surgical Purpose Elbow Action Sink Mixer (Wall Mounted) with Extended Operating Lever, Connecting Legs & Wall Flanges
",https://www.jaquar.com/en/single-lever-surgical-purpose-elbow-action-sink-mixer-wall-mounted?Id=11410,"Medi Series, FLP-CHR-5166PM, Chrome"
