category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Opal Prime,2524,Single Lever Basin Mixer,Parent,1973,Single Lever Basin Mixer - Chrome,OPP-CHR-15011BPM,Chrome,https://www.jaquar.com/images/thumbs/0060191_single-lever-basin-mixer-chrome_960.jpeg,5350.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses

Registered Design No:276010",https://www.jaquar.com/en/opal-prime-basin-mixer?Id=2524,"Opal Prime, OPP-CHR-15011BPM, Chrome"
Faucets,Opal Prime,2524,Single Lever Basin Mixer,Variant,1973,Single Lever Basin Mixer -Antique Bronze,OPP-ABR-15011BPM,Antique Bronze,https://www.jaquar.com/images/thumbs/0052323_single-lever-basin-mixer-antique-bronze_960.jpeg,8900.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses

Registered Design No:276010",https://www.jaquar.com/en/opal-prime-basin-mixer?Id=2524,"Opal Prime, OPP-ABR-15011BPM, Antique Bronze"
Faucets,Opal Prime,2524,Single Lever Basin Mixer,Variant,1973,Single Lever Basin Mixer -Antique Copper,OPP-ACR-15011BPM,Antique Copper,https://www.jaquar.com/images/thumbs/0060036_single-lever-basin-mixer-antique-copper_960.jpeg,8900.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses

Registered Design No:276010",https://www.jaquar.com/en/opal-prime-basin-mixer?Id=2524,"Opal Prime, OPP-ACR-15011BPM, Antique Copper"
Faucets,Opal Prime,2524,Single Lever Basin Mixer,Variant,1973,Single Lever Basin Mixer -Black Chrome,OPP-BCH-15011BPM,Black Chrome,https://www.jaquar.com/images/thumbs/0053858_single-lever-basin-mixer-black-chrome_960.jpeg,7800.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses

Registered Design No:276010",https://www.jaquar.com/en/opal-prime-basin-mixer?Id=2524,"Opal Prime, OPP-BCH-15011BPM, Black Chrome"
Faucets,Opal Prime,2524,Single Lever Basin Mixer,Variant,1973,Single Lever Basin Mixer -Black Matt,OPP-BLM-15011BPM,Black Matt,https://www.jaquar.com/images/thumbs/0052324_single-lever-basin-mixer-black-matt_960.jpeg,7800.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses

Registered Design No:276010",https://www.jaquar.com/en/opal-prime-basin-mixer?Id=2524,"Opal Prime, OPP-BLM-15011BPM, Black Matt"
Faucets,Opal Prime,2524,Single Lever Basin Mixer,Variant,1973,Single Lever Basin Mixer -Graphite,OPP-GRF-15011BPM,Graphite,https://www.jaquar.com/images/thumbs/0011466_single-lever-basin-mixer-graphite_960.jpeg,8900.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses

Registered Design No:276010",https://www.jaquar.com/en/opal-prime-basin-mixer?Id=2524,"Opal Prime, OPP-GRF-15011BPM, Graphite"
Faucets,Opal Prime,2524,Single Lever Basin Mixer,Variant,1973,Single Lever Basin Mixer -Stainless Steel,OPP-SSF-15011BPM,Stainless Steel,https://www.jaquar.com/images/thumbs/0067282_single-lever-basin-mixer-stainless-steel_960.jpeg,8900.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses

Registered Design No:276010",https://www.jaquar.com/en/opal-prime-basin-mixer?Id=2524,"Opal Prime, OPP-SSF-15011BPM, Stainless Steel"
Faucets,Opal Prime,2524,Single Lever Basin Mixer,Variant,1973,Single Lever Basin Mixer - Gold Matt PVD,OPP-GMP-15011BPM,Gold Matt PVD,https://www.jaquar.com/images/thumbs/0059396_single-lever-basin-mixer-gold-matt-pvd_960.jpeg,9200.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses

Registered Design No:276010",https://www.jaquar.com/en/opal-prime-basin-mixer?Id=2524,"Opal Prime, OPP-GMP-15011BPM, Gold Matt PVD"
Faucets,Opal Prime,2524,Single Lever Basin Mixer,Variant,1973,Single Lever Basin Mixer - Gold Bright PVD,OPP-GBP-15011BPM,Gold Bright PVD,https://www.jaquar.com/images/thumbs/0055869_single-lever-basin-mixer-gold-bright-pvd_960.jpeg,9200.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses

Registered Design No:276010",https://www.jaquar.com/en/opal-prime-basin-mixer?Id=2524,"Opal Prime, OPP-GBP-15011BPM, Gold Bright PVD"
Faucets,Opal Prime,2524,Single Lever Basin Mixer,Variant,1973,Single Lever Basin Mixer - Blush Gold Bright PVD,OPP-BGP-15011BPM,Blush Gold PVD,https://www.jaquar.com/images/thumbs/0055949_single-lever-basin-mixer-blush-gold-pvd_960.jpeg,8100.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses

Registered Design No:276010",https://www.jaquar.com/en/opal-prime-basin-mixer?Id=2524,"Opal Prime, OPP-BGP-15011BPM, Blush Gold PVD"
Faucets,Opal Prime,2661,Single Lever Basin Mixer with Popup Waste,Parent,1955,Single Lever Basin Mixer with Popup Waste - Chrome,OPP-CHR-15051BPM,Chrome,https://www.jaquar.com/images/thumbs/0060206_single-lever-basin-mixer-with-popup-waste-chrome_960.jpeg,6350.00,"Single Lever Basin Mixer with Popup Waste, with 450mm Long Braided Hoses",https://www.jaquar.com/en/chrome-opal-prime-mixer-with-pop-up-waste-system?Id=2661,"Opal Prime, OPP-CHR-15051BPM, Chrome"
Faucets,Opal Prime,2661,Single Lever Basin Mixer with Popup Waste,Variant,1955,Single Lever Basin Mixer with Popup Waste - Antique Bronze,OPP-ABR-15051BPM,Antique Bronze,https://www.jaquar.com/images/thumbs/0052027_single-lever-basin-mixer-with-popup-waste-antique-bronze_960.jpeg,10600.00,"Single Lever Basin Mixer with Popup Waste, with 450mm Long Braided Hoses",https://www.jaquar.com/en/chrome-opal-prime-mixer-with-pop-up-waste-system?Id=2661,"Opal Prime, OPP-ABR-15051BPM, Antique Bronze"
Faucets,Opal Prime,2661,Single Lever Basin Mixer with Popup Waste,Variant,1955,Single Lever Basin Mixer with Popup Waste - Antique Copper,OPP-ACR-15051BPM,Antique Copper,https://www.jaquar.com/images/thumbs/0060462_single-lever-basin-mixer-with-popup-waste-antique-copper_960.jpeg,10600.00,"Single Lever Basin Mixer with Popup Waste, with 450mm Long Braided Hoses",https://www.jaquar.com/en/chrome-opal-prime-mixer-with-pop-up-waste-system?Id=2661,"Opal Prime, OPP-ACR-15051BPM, Antique Copper"
Faucets,Opal Prime,2661,Single Lever Basin Mixer with Popup Waste,Variant,1955,Single Lever Basin Mixer with Popup Waste -Black Chrome,OPP-BCH-15051BPM,Black Chrome,https://www.jaquar.com/images/thumbs/0053813_single-lever-basin-mixer-with-popup-waste-black-chrome_960.jpeg,9250.00,"Single Lever Basin Mixer with Popup Waste, with 450mm Long Braided Hoses",https://www.jaquar.com/en/chrome-opal-prime-mixer-with-pop-up-waste-system?Id=2661,"Opal Prime, OPP-BCH-15051BPM, Black Chrome"
Faucets,Opal Prime,2661,Single Lever Basin Mixer with Popup Waste,Variant,1955,Single Lever Basin Mixer with Popup Waste -Black Matt,OPP-BLM-15051BPM,Black Matt,https://www.jaquar.com/images/thumbs/0052536_single-lever-basin-mixer-with-popup-waste-black-matt_960.jpeg,9250.00,"Single Lever Basin Mixer with Popup Waste, with 450mm Long Braided Hoses",https://www.jaquar.com/en/chrome-opal-prime-mixer-with-pop-up-waste-system?Id=2661,"Opal Prime, OPP-BLM-15051BPM, Black Matt"
