category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Solo,397,Single Lever Basin Mixer,Parent,397,Single Lever Basin Mixer,SOL-CHR-6001B,,https://www.jaquar.com/images/thumbs/0008617_single-lever-basin-mixer_960.jpeg,,Single Lever Basin Mixer without Popup Waste System with 450mm Long Braided Hoses,https://www.jaquar.com/en/solo-basin-mixer-single-lever?Id=397,"Solo, SOL-CHR-6001B"
Faucets,Solo,1689,Single Lever Basin Mixer,Parent,1689,Single Lever Basin Mixer,SOL-CHR-6051B,,https://www.jaquar.com/images/thumbs/0013098_single-lever-basin-mixer_960.jpeg,,Single Lever Basin Mixer with Popup Waste System & 450mm Long Braided Hoses,https://www.jaquar.com/en/solo-pop-up-waste-system-basin-mixer?Id=1689,"Solo, SOL-CHR-6051B"
Faucets,Solo,398,Exposed Part Kit of Single Lever Basin Mixer,Parent,398,Exposed Part Kit of Single Lever Basin Mixer,SOL-CHR-6233NK,,https://www.jaquar.com/images/thumbs/0008621_exposed-part-kit-of-single-lever-basin-mixer_960.jpeg,,"Exposed Part Kit of Single Lever Basin Mixer Wall Mounted Consisting of Operating Lever, Cartridge Sleeve, Wall Flange, Nipple & Spout (Compatible with ALD-233N or ALD-235N)",https://www.jaquar.com/en/solo-concealed-wall-basin-mixer?Id=398,"Solo, SOL-CHR-6233NK"
Faucets,Solo,399,Single Lever Wall Mixer,Parent,399,Single Lever Wall Mixer,SOL-CHR-6119,,https://www.jaquar.com/images/thumbs/0008623_single-lever-wall-mixer_960.jpeg,,"Single Lever Wall Mixer with Provision of Hand Shower, But without Hand Shower",https://www.jaquar.com/en/solo-wall-mixer-with-hand-shower-provision?Id=399,"Solo, SOL-CHR-6119"
Faucets,Solo,400,Single Lever High Flow Bath Filler (Concealed Body),Parent,400,Single Lever High Flow Bath Filler (Concealed Body),SOL-CHR-6135,,https://www.jaquar.com/images/thumbs/0008625_single-lever-high-flow-bath-filler-concealed-body_960.jpeg,,Single Lever High Flow Bath Filler (Concealed Body) Wall Mounted Model with Bath Spout (Composite One Piece Body),https://www.jaquar.com/en/high-flow-bath-filler-solo?Id=400,"Solo, SOL-CHR-6135"
Faucets,Solo,401,Single Lever High Flow Bath & Shower Mixer,Parent,401,Single Lever High Flow Bath & Shower Mixer,SOL-CHR-6137,,https://www.jaquar.com/images/thumbs/0008627_single-lever-high-flow-bath-shower-mixer_960.jpeg,,Single Lever High Flow Bath & Shower Mixer (Concealed Body) Wall Mounted Model with Button Spout (Composite One Piece Body),https://www.jaquar.com/en/high-flow-bath-and-shower-mixer-solo?Id=401,"Solo, SOL-CHR-6137"
Faucets,Solo,1370,Single Lever Exposed Shower Mixer,Parent,1370,Single Lever Exposed Shower Mixer,SOL-CHR-6145,,https://www.jaquar.com/images/thumbs/0008629_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211NH or SHA-1213) & Hand Shower with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/solo-wall-mixer-exposed-shower-and-hand-shower?Id=1370,"Solo, SOL-CHR-6145"
Faucets,Solo,1371,Single Lever Exposed Shower Mixer,Parent,1371,Single Lever Exposed Shower Mixer,SOL-CHR-6147,,https://www.jaquar.com/images/thumbs/0008631_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer with Provision For Connection to Exposed Shower Pipe (SHA-1211N) with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/solo-exposed-shower-mixer?Id=1371,"Solo, SOL-CHR-6147"
Faucets,Solo,403,Single Lever Exposed Shower  Mixer,Parent,403,Single Lever Exposed Shower  Mixer,SOL-CHR-6149,,https://www.jaquar.com/images/thumbs/0008633_single-lever-exposed-shower-mixer_960.jpeg,,Single Lever Exposed Shower Mixer for Connection to Hand Shower with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/solo-exposed-hand-shower-mixer?Id=403,"Solo, SOL-CHR-6149"
Faucets,Solo,402,Single Lever Concealed Shower Mixer,Parent,402,Single Lever Concealed Shower Mixer,SOL-CHR-6139,,https://www.jaquar.com/images/thumbs/0008636_single-lever-concealed-shower-mixer_960.jpeg,,Single Lever Concealed Shower Mixer For Connection To Overhead Shower only,https://www.jaquar.com/en/solo-shower-mixer?Id=402,"Solo, SOL-CHR-6139"
Faucets,Solo,404,Single Lever Concealed Deusch Mixer,Parent,404,Single Lever Concealed Deusch Mixer,SOL-CHR-6227K,,https://www.jaquar.com/images/thumbs/0008638_single-lever-concealed-deusch-mixer_960.jpeg,,"Single Lever Exposed Parts Kit of Deusch Mixer Consisting of Operating Lever, Cartridge Sleeve & Wall Flange with Seals (Compatible with ALD-227 or ALD-229)",https://www.jaquar.com/en/solo-shower-deusch-mixer?Id=404,"Solo, SOL-CHR-6227K"
Faucets,Solo,405,Single Lever Exposed Parts Kit of Diverter,Parent,405,Single Lever Exposed Parts Kit of Diverter,SOL-CHR-6065MK,,https://www.jaquar.com/images/thumbs/0008642_single-lever-exposed-parts-kit-of-diverter_960.jpeg,,"Single Lever Exposed Parts Kit of Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals) & Button Assembly Sleeve & Button (Compatible with ALD-065M)",https://www.jaquar.com/en/solo-divertor-plate_ald-065?Id=405,"Solo, SOL-CHR-6065MK"
Faucets,Solo,407,Single Lever Exposed Parts Kit of Hi-flow Diverter,Parent,407,Single Lever Exposed Parts Kit of Hi-flow Diverter,SOL-CHR-6079NK,,https://www.jaquar.com/images/thumbs/0008646_single-lever-exposed-parts-kit-of-hi-flow-diverter_960.jpeg,,"Single Lever Exposed Parts Kit of Hi-flow Diverter Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals), Button Assembly Sleeve & Button (Compatible with ALD-079N)",https://www.jaquar.com/en/solo-high-flow-divertor-plate_ald-079?Id=407,"Solo, SOL-CHR-6079NK"
Faucets,Solo,408,Single Lever 3-inlet Divertor,Parent,408,Single Lever 3-inlet Divertor,SOL-CHR-6193NK,,https://www.jaquar.com/images/thumbs/0008648_single-lever-3-inlet-divertor_960.jpeg,,"Single Lever 3-inlet Diverter Exposed parts kit Consisting of Operating Lever, Cartridge Sleeve, Wall Flange (with Seals), Button Assembly Sleeve and Button Cap (Compatible with ALD-193N)",https://www.jaquar.com/en/solo-divertor-plate_ald-193?Id=408,"Solo, SOL-CHR-6193NK"
Faucets,Solo,4031,Exposed Parts of Floor Mounted Single Lever Bath Mixer,Parent,4031,Exposed Parts of Floor Mounted Single Lever Bath Mixer,SOL-CHR-6121K,,https://www.jaquar.com/images/thumbs/0015452_exposed-parts-of-floor-mounted-single-lever-bath-mixer_960.jpeg,,"Exposed Parts of Floor Mounted Single Lever Bath Mixer with Provision for Hand Shower, without Hand Shower & Shower Hose (Compatible with ALD-121)",https://www.jaquar.com/en/solo-floor-mounted-bath-lever?Id=4031,"Solo, SOL-CHR-6121K"
Faucets,Solo,1372,Single Lever Sink Mixer,Parent,1372,Single Lever Sink Mixer,SOL-CHR-6165,,https://www.jaquar.com/images/thumbs/0008650_single-lever-sink-mixer_960.jpeg,,Single Lever Sink Mixer with Swinging Spout on Upper Side (Wall Mounted Model) with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/solo-wall-sink-mixer-swan-neck?Id=1372,"Solo, SOL-CHR-6165"
Faucets,Solo,410,Single Lever Sink Mixer Swinging Spout (Wall Mounted Model),Parent,410,Single Lever Sink Mixer Swinging Spout (Wall Mounted Model),SOL-CHR-6163,,https://www.jaquar.com/images/thumbs/0008652_single-lever-sink-mixer-swinging-spout-wall-mounted-model_960.jpeg,,Single Lever Sink Mixer Swinging Spout (Wall Mounted Model) with Connecting Legs & Wall Flanges,https://www.jaquar.com/en/solo-wall-sink-mixer-bottom-outlet?Id=410,"Solo, SOL-CHR-6163"
Faucets,Solo,412,Single Lever Sink Mixer,Parent,412,Single Lever Sink Mixer,SOL-CHR-6173B,,https://www.jaquar.com/images/thumbs/0008654_single-lever-sink-mixer_960.jpeg,,Single Lever Sink Mixer with Swinging Spout (Table Mounted) with 450mm Long Braided Hoses,https://www.jaquar.com/en/solo-table-sink-mixer?Id=412,"Solo, SOL-CHR-6173B"
Faucets,Solo,411,Central Hole Basin Mixer,Parent,411,Central Hole Basin Mixer,SOL-CHR-6167B,,https://www.jaquar.com/images/thumbs/0008656_central-hole-basin-mixer_960.jpeg,,Central Hole Basin Mixer without Popup Waste System with 450mm Long Braided Hoses (15mm Cartridge Size),https://www.jaquar.com/en/solo-basin-mixer?Id=411,"Solo, SOL-CHR-6167B"
Faucets,Solo,1691,Central Hole Basin Mixer,Parent,1691,Central Hole Basin Mixer,SOL-CHR-6169B,,https://www.jaquar.com/images/thumbs/0008659_central-hole-basin-mixer_960.jpeg,,Central Hole Basin Mixer with Popup Waste System with 450mm Long  Braided Hoses (15mm Cartridge Size),https://www.jaquar.com/en/solo-basin-mixer-with-pop-up-waste?Id=1691,"Solo, SOL-CHR-6169B"
Faucets,Solo,413,3-Hole Basin Mixer,Parent,413,3-Hole Basin Mixer,SOL-CHR-6189,,https://www.jaquar.com/images/thumbs/0008660_3-hole-basin-mixer_960.jpeg,,"3-Hole Basin Mixer without Popup Waste System, 15mm Cartridge Size",https://www.jaquar.com/en/solo-3-hole-basin-mixer?Id=413,"Solo, SOL-CHR-6189"
Faucets,Solo,414,3-Hole Basin Mixer,Parent,414,3-Hole Basin Mixer,SOL-CHR-6191,,https://www.jaquar.com/images/thumbs/0056110_3-hole-basin-mixer_960.jpeg,,"3-Hole Basin Mixer with Popup Waste System, 15mm Cartridge Size",https://www.jaquar.com/en/solo-3-hole-basin-mixer-popup-waste?Id=414,"Solo, SOL-CHR-6191"
