category,series,parent_product_id,parent_name,is_parent,variant_id,product_name,product_code,color,image_url,mrp,description,product_url,bullet_points
Faucets,Alive,2416,Single Lever Basin Mixer- Chrome,Parent,2413,Single Lever Basin Mixer- Chrome,ALI-CHR-85011B,Chrome,https://www.jaquar.com/images/thumbs/0067400_single-lever-basin-mixer-chrome_960.jpeg,7450.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses
",https://www.jaquar.com/en/alive-chrome-basin-mixer?Id=2416,"Alive, ALI-CHR-85011B, Chrome"
Faucets,Alive,2416,Single Lever Basin Mixer- Chrome,Variant,2413,Single Lever Basin Mixer - Antique Bronze,ALI-ABR-85011B,Antique Bronze,https://www.jaquar.com/images/thumbs/0052168_single-lever-basin-mixer-antique-bronze_960.jpeg,12300.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses
",https://www.jaquar.com/en/alive-chrome-basin-mixer?Id=2416,"Alive, ALI-ABR-85011B, Antique Bronze"
Faucets,Alive,2416,Single Lever Basin Mixer- Chrome,Variant,2413,Single Lever Basin Mixer- Antique copper,ALI-ACR-85011B,Antique Copper,https://www.jaquar.com/images/thumbs/0067420_single-lever-basin-mixer-antique-copper_960.jpeg,12300.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses
",https://www.jaquar.com/en/alive-chrome-basin-mixer?Id=2416,"Alive, ALI-ACR-85011B, Antique Copper"
Faucets,Alive,2416,Single Lever Basin Mixer- Chrome,Variant,2413,Single Lever Basin Mixer-Black Chrome,ALI-BCH-85011B,Black Chrome,https://www.jaquar.com/images/thumbs/0053775_single-lever-basin-mixer-black-chrome_960.jpeg,10700.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses
",https://www.jaquar.com/en/alive-chrome-basin-mixer?Id=2416,"Alive, ALI-BCH-85011B, Black Chrome"
Faucets,Alive,2416,Single Lever Basin Mixer- Chrome,Variant,2413,Single Lever Basin Mixer-Black Matt,ALI-BLM-85011B,Black Matt,https://www.jaquar.com/images/thumbs/0052169_single-lever-basin-mixer-black-matt_960.jpeg,10700.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses
",https://www.jaquar.com/en/alive-chrome-basin-mixer?Id=2416,"Alive, ALI-BLM-85011B, Black Matt"
Faucets,Alive,2416,Single Lever Basin Mixer- Chrome,Variant,2413,Single Lever Basin Mixer-Graphite,ALI-GRF-85011B,Graphite,https://www.jaquar.com/images/thumbs/0011335_single-lever-basin-mixer-graphite_960.jpeg,12300.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses
",https://www.jaquar.com/en/alive-chrome-basin-mixer?Id=2416,"Alive, ALI-GRF-85011B, Graphite"
Faucets,Alive,2416,Single Lever Basin Mixer- Chrome,Variant,2413,Single Lever Basin Mixer-Stainless Steel,ALI-SSF-85011B,Stainless Steel,https://www.jaquar.com/images/thumbs/0060567_single-lever-basin-mixer-stainless-steel_960.jpeg,12300.00,"Single Lever Basin Mixer without Popup Waste with 450mm Long Braided Hoses
",https://www.jaquar.com/en/alive-chrome-basin-mixer?Id=2416,"Alive, ALI-SSF-85011B, Stainless Steel"
Faucets,Alive,2443,Single Lever Basin Mixer,Parent,2089,Single Lever Basin Mixer - Chrome,ALI-CHR-85051B,Chrome,https://www.jaquar.com/images/thumbs/0067392_single-lever-basin-mixer-chrome_960.jpeg,8450.00,"Single Lever Basin Mixer with Popup Waste with 450mm Long Braided Hoses
",https://www.jaquar.com/en/alive-chrome-basin-mixer-with-pop-up-waste-system?Id=2443,"Alive, ALI-CHR-85051B, Chrome"
Faucets,Alive,2443,Single Lever Basin Mixer,Variant,2089,Single Lever Basin Mixer -Antique Bronze,ALI-ABR-85051B,Antique Bronze,https://www.jaquar.com/images/thumbs/0067429_single-lever-basin-mixer-antique-bronze_960.jpeg,13900.00,"Single Lever Basin Mixer with Popup Waste with 450mm Long Braided Hoses
",https://www.jaquar.com/en/alive-chrome-basin-mixer-with-pop-up-waste-system?Id=2443,"Alive, ALI-ABR-85051B, Antique Bronze"
Faucets,Alive,2443,Single Lever Basin Mixer,Variant,2089,Single Lever Basin Mixer -Antique Copper,ALI-ACR-85051B,Antique Copper,https://www.jaquar.com/images/thumbs/0067417_single-lever-basin-mixer-antique-copper_960.jpeg,13900.00,"Single Lever Basin Mixer with Popup Waste with 450mm Long Braided Hoses
",https://www.jaquar.com/en/alive-chrome-basin-mixer-with-pop-up-waste-system?Id=2443,"Alive, ALI-ACR-85051B, Antique Copper"
